function	A011.337.951	A011.796.405	A065.688.849	A139.426.047	A257.868.269	A290.419.594	A328.260.254	A328.607.302	A475.161.163	A510.125.355	A517.753.353	A519.936.442	A603.130.471	A603.362.293	A627.062.688	A674.187.094	A712.481.521	A742.300.741	A750.812.113	A866.438.792	A896.860.089	A912.362.107	A912.836.594	A929.187.519	description
COG0001	20332.02	4539.690000000001	13315.59	8973.91	9961.69	8377.54	13719.690000000002	9744.929999999997	6652.9	12008.74	16894.21	11955.67	11241.53	8451.05	10610.83	12226.76	14440.86	10544.84	9669.87	4574.75	12153.3	9790.69	10617.56	11081.91	Glutamate-1-semialdehyde aminotransferase
COG0002	36757.2	25993.54	34455.04	32530.53	37971.27	40615.56	33441.150000000016	41840.47	35827.53	16833.020000000004	35498.18	35452.039999999986	32680.76	35542.130000000005	27594.87	32953.09	35913.2	31586.94	33280.87	34654.95	34328.27	35407.020000000004	34464.939999999995	29478.710000000006	N-acetyl-gamma-glutamylphosphate reductase
COG0003	312.0	363.5	471.9	812.8	40.5	39.36	517.75	24.75	117.0	15.0	84.33	520.0699999999998	573.0	1582.4	324.5	133.97	3118.73	113.0	344.69	443.0	2715.0	88.04	214.5	1957.93	Anion-transporting ATPase, ArsA/GET3 family
COG0004	35340.5	28426.890000000007	34354.8	31718.85	41033.05	40426.36	31506.590000000004	38334.97	37128.53	10532.81	37019.68	39695.94	35962.10000000001	30400.69	29772.63	29184.49	33512.23	27765.54	27819.79	33581.82	35422.7	34558.44	35901.93	29354.83	Ammonia channel protein AmtB
COG0005	37657.27	25662.5	33302.79	36129.61	36644.17	41841.02	29990.46	41480.86	36550.460000000014	7925.28	38967.8	36655.64	35101.73	35731.15	28782.539999999994	30106.15	35426.83	31438.1	26421.04	35889.79	38095.47	36727.33	36663.12	30925.79	Purine nucleoside phosphorylase
COG0006	80069.59999999999	54902.66	63320.77	78936.0	72903.04	91634.54	67495.25	80668.62	80472.72000000003	31971.78	83231.18999999999	79760.54	66715.2	74323.57	54018.94	62698.27	78718.71	74403.72	70009.96	74979.81999999999	74350.78	73860.81	70394.56	65014.68	Xaa-Pro aminopeptidase
COG0007	24319.12	4777.51	19597.09	8418.21	12245.39	12497.33	16495.420000000002	10088.53	17677.5	14063.45	18896.44	14612.47	15077.53	9821.05	13012.83	14137.53	15620.46	11945.63	11483.51	8326.75	12729.8	14059.48	9142.76	13979.16	Uroporphyrinogen-III methylase (siroheme synthase)
COG0008	77448.31999999999	51399.21	67699.92000000001	71629.55000000003	80467.73	84493.65000000001	67293.57000000004	83964.84000000001	78870.39000000001	33289.540000000015	76743.94	78144.91	69912.77	69424.36000000003	57832.48999999999	66141.43000000001	74968.40000000001	67838.78	64886.74000000001	72249.57	77712.29	71321.54000000001	70189.5	64328.83	Glutamyl- or glutaminyl-tRNA synthetase
COG0009	51617.67000000001	41058.74000000001	45229.48	58040.77	62262.48999999999	68850.1	49446.21	69896.83	57749.46	23955.51	58296.81000000001	58624.84	49996.69	56546.61	40135.06	46525.59	55465.77	50216.43	50917.56000000001	61253.62	61861.34	54410.04	56155.78999999999	43919.22	tRNA A37 threonylcarbamoyladenosine synthetase subunit TsaC/SUA5/YrdC
COG0010	28300.95	9026.88	23271.42	12887.63	10640.55	7300.93	21236.450000000004	9955.95	25192.660000000003	8827.16	13841.21	17093.47	16229.78	15351.03	15195.17	18686.09	17161.13	14403.67	10616.68	13410.17	14076.32	22309.480000000003	11754.29	18134.58	Arginase family enzyme
COG0011	13530.75	229.0	5553.0	617.25	957.75	1251.75	4030.58	202.0	840.5	325.5	4557.58	1761.17	3500.25	519.25	2301.08	4183.92	3673.0	1055.75	3227.0	418.25	578.5	2901.83	1338.92	1557.33	Uncharacterized conserved protein YqgV, UPF0045/DUF77 family
COG0012	40695.12	27069.97	37294.960000000014	37499.19	40961.89	42459.96	35396.35000000001	42910.13000000001	39840.53	17194.020000000004	40113.18	41379.04	37803.26	36820.3	31042.619999999995	35153.58999999998	38940.37	36486.49000000001	33877.87	37633.87	41011.02	38630.02	38779.7	34027.04	Ribosome-binding ATPase YchF, GTP1/OBG family
COG0013	40595.12	26966.37	37127.960000000014	37472.19	40866.69	42315.56	34817.150000000016	42851.13000000001	39797.53	17137.020000000004	40006.18	41047.04	37775.26	36506.3	30882.619999999995	34744.590000000004	38753.37	36327.69	33772.87	37609.87	40947.02	38630.02	38339.1	34019.04	Alanyl-tRNA synthetase
COG0014	36336.12	26806.22	35323.290000000015	36380.03	40315.39	40817.46	33592.470000000016	39442.13000000001	38270.7	16772.690000000002	39164.68	39953.04	36409.180000000015	34146.64	29700.78	32472.61	36471.87	31708.24	32801.12	36030.87	36003.6	36270.02	37975.53	32517.460000000006	Gamma-glutamyl phosphate reductase
COG0015	40694.45	27085.97	37506.960000000014	40633.19	41201.89	42294.96	35374.35000000001	43739.13000000001	41337.53	17163.020000000004	40674.68	41989.04	38512.26	38337.3	31696.619999999995	35220.58999999998	39017.87	37057.49000000001	34007.740000000005	38314.87	41605.02	39450.02	42167.7	34023.29	Adenylosuccinate lyase
