KO_Hierarchy	A011.337.951	A011.796.405	A065.688.849	A139.426.047	A257.868.269	A290.419.594	A328.260.254	A328.607.302	A475.161.163	A510.125.355	A517.753.353	A519.936.442	A603.130.471	A603.362.293	A627.062.688	A674.187.094	A712.481.521	A742.300.741	A750.812.113	A866.438.792	A896.860.089	A912.362.107	A912.836.594	A929.187.519	KEGG_Description
COG0642	0.00582891342129899	0.00575329450704714	0.0060192537293427	0.00524945332916035	0.00562280284737172	0.00565541411531748	0.00548079159341781	0.0054059774125811	0.00559980148789066	0.00313581868080384	0.00568801229579507	0.00562373377257306	0.00579408099404784	0.00566215163310911	0.00564066364119012	0.0057455448106776	0.00571879826949783	0.00531964306564203	0.00522609718392436	0.00577993686913435	0.00544087424902306	0.00586342446634089	0.00563453990605511	0.00575111034636357	Signal transduction histidine kinase
COG0534	0.00557603956618868	0.00550739912067014	0.00563912835687566	0.00525271036011682	0.00567555398950764	0.00574871355221444	0.0052182698149475	0.00539933722121348	0.00541733458900107	0.0036898616357031	0.00523358974965728	0.00537843717880492	0.0057288290869614	0.00542105955461696	0.00543471031960559	0.00557362360057279	0.00569353279650357	0.00482950902315763	0.00533854059026808	0.00563958354478808	0.00535108738749462	0.00558058123377092	0.00532589216370928	0.00569509621094077	Na+-driven multidrug efflux pump
COG4974	0.00483053877715904	0.00551546060970697	0.00526983964724092	0.00515519413653492	0.0056705767414342	0.00542206616693898	0.00516747051232433	0.00557871280165525	0.00549323205906408	0.0041157089800852	0.00502969571510404	0.0054579148698333	0.00545379380744674	0.00563449446366832	0.00527852366311567	0.00547570440414938	0.00542846483188856	0.00520461203729523	0.00543345115229445	0.00563689007149036	0.0056256902074731	0.00559097200366902	0.00506386178755722	0.00543860233143436	Site-specific recombinase XerD
COG2207	0.00460901761036879	0.00543901787526223	0.00529729762737066	0.0051266180815561	0.00551355211859396	0.00546397623755545	0.00501910512387841	0.00562621667853187	0.00554169530046529	0.00313342221600895	0.00516498329301808	0.00517794087589012	0.00538957856838813	0.00544994734736277	0.0051603569830252	0.00502578092916007	0.00527906993886114	0.00472909226551581	0.00473764512715579	0.00571644070625733	0.00524930107526888	0.00546412045274046	0.00531196817593828	0.00535997882005247	AraC-type DNA-binding domain and AraC-containing proteins
COG1595	0.00508438535247671	0.00522680102914557	0.00503845879884545	0.00477875828008533	0.0051342685409124	0.00519928640663304	0.00518631571545995	0.00507131024366545	0.00517431992362805	0.00339297683413924	0.00504718247888617	0.00500672207742191	0.00508615621980429	0.00537319629654028	0.00503576388635235	0.00517422618374553	0.00541868822061582	0.00466030201626835	0.00511951345193809	0.00536331280749027	0.00478162617404298	0.00540293506932961	0.0046190663140431	0.00531377906992557	DNA-directed RNA polymerase specialized sigma subunit, sigma24 family
COG0438	0.00463804708423596	0.00509386945987481	0.00428049884104211	0.00444765095766372	0.00464608165343274	0.00491347149806	0.0046658867291139	0.00507602288334375	0.00455035591194554	0.00464477784775328	0.0047367665709948	0.00428883185040145	0.0043278352055688	0.00470279956156083	0.00448014227337547	0.00472635763673232	0.00474193580367742	0.00458109279564481	0.00507637188111595	0.00503396931748313	0.00479255078180642	0.00447794106080218	0.00433906251276135	0.00408288665769892	Glycosyltransferase involved in cell wall bisynthesis
COG0745	0.0052582625652561	0.00415906041942255	0.00556531456339806	0.00424485398420171	0.00450897655972848	0.00416756551015904	0.00479455660288264	0.00394053828996036	0.00471866165229838	0.00330497858330428	0.00451611003081124	0.00473945226564293	0.0051905651714153	0.00426454614778396	0.00497185238348367	0.00499227658701217	0.00490915912268992	0.00430053523004632	0.0043086349969007	0.00432219301003435	0.00444302144134788	0.00500671690924731	0.00470682335500336	0.00524790119657583	DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain
COG0463	0.0035507480430612	0.00484508004580136	0.00358609236444044	0.00417717003954353	0.00475794210572924	0.00465994966403755	0.00404404266558631	0.00507063719783079	0.00445483756135056	0.00416061599697305	0.00417158655935533	0.0042675032927885	0.0039693629829018	0.00441946620608309	0.00395017940062894	0.00413724754105793	0.00424506789618889	0.00422869960844443	0.00451278289348311	0.00471266038526557	0.00437369940382922	0.00394622727418122	0.00438351664628351	0.00385167893811742	Glycosyltransferase involved in cell wall bisynthesis
COG1136	0.00406587602327559	0.00401702218653323	0.00452338331641309	0.00363717276954918	0.00453099781786487	0.00429660321504553	0.00402214639627013	0.00386824044788073	0.00443978860954616	0.00286605493194722	0.00436824704195112	0.00424522754517782	0.00443337905321155	0.00406122113268402	0.00410840990390285	0.00418847441606448	0.0043567413193423	0.00353421650940306	0.0041397211179631	0.00429978929197192	0.00411963234285787	0.00436707632939386	0.00419810465392254	0.00435570983673194	ABC-type lipoprotein export system, ATPase component
COG1131	0.00448000042540798	0.00325537735678851	0.00486993695674201	0.00311321411318854	0.00392477692741166	0.00343323793697118	0.00424929542556326	0.00254967932792016	0.0042811727431196	0.00301747940579785	0.00448447612996712	0.00418341905494335	0.00443480022783857	0.0034606776200449	0.00428250716639918	0.00414252724083421	0.00420321849125871	0.0033064555374671	0.00386120308129478	0.0036575623013951	0.0036450969919526	0.00442343660117975	0.00383207511899989	0.00459042434512239	ABC-type multidrug transport system, ATPase component
COG1028	0.00437059808669866	0.00361844588719329	0.00400308972936139	0.0035811517731028	0.00367720417386034	0.00372314487779394	0.0038268217311084	0.0035820081073304	0.00374879015570321	0.00337945238189096	0.0037857780430367	0.00362393730123834	0.00369438901348353	0.00364552017837245	0.00360268753761966	0.0037979952739518	0.00392243338302448	0.00352006801187168	0.0038369638900437	0.00375229554532487	0.00346518389361424	0.00376674582790265	0.00353727955977485	0.00358425244176805	NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family
COG1132	0.00420572432869225	0.00276044413401646	0.00462971569550208	0.00269265219076621	0.0034735190004798	0.00302406719517033	0.00373180253666753	0.00222973124498481	0.00385271568423338	0.00197980188593994	0.00368709076999555	0.00363782583894058	0.00416920274767932	0.00303365843041711	0.00396642320798476	0.00383534255681845	0.00353965390654305	0.00304048287899488	0.00304079057539941	0.00300231723202515	0.00355844347916378	0.0039162643138593	0.00358148331769355	0.00426448067266169	ABC-type multidrug transport system, ATPase and permease component
COG1309	0.00452759292288743	0.00292863158676432	0.00425583647060678	0.00298095462619331	0.00305923900815098	0.00276257455573234	0.00369985916056308	0.00264587242192085	0.00379250069265329	0.00246453329440086	0.00337965621915743	0.00321599210883384	0.00373842086992021	0.00297795407505621	0.00371898885403711	0.00380440555978732	0.00353243814989196	0.00312337749249075	0.00292551369278707	0.00289945062563351	0.00333648045438351	0.00366105393041579	0.00324385769562654	0.00354545980603812	DNA-binding transcriptional regulator, AcrR family
COG0583	0.00344798855079511	0.00251659661566239	0.00404054649754387	0.00298985874535444	0.00298973324809664	0.00256326360453228	0.0031358169446135	0.00259930975414415	0.00345224211706451	0.0025945742463768	0.00323942728696369	0.00326846384370053	0.0035734082065151	0.00263730777318611	0.00357459150907482	0.00338810476374892	0.00317380923972919	0.00312371244828377	0.00238627897088346	0.00266616909320289	0.00326980572951145	0.00336737860676251	0.0033980349787035	0.0036112365890544	DNA-binding transcriptional regulator, LysR family
COG0845	0.00214740138785777	0.00385843570241374	0.00175872254644758	0.00402276920555008	0.00339511673227772	0.00414244147160722	0.00278830901503735	0.00452767648393996	0.00294106179193809	0.00331592953748304	0.00275059104602567	0.00278842503796524	0.00232825058114232	0.00367109126305573	0.00237947146683641	0.00283448875903879	0.00296780287498079	0.00314099915631063	0.00384427447109005	0.00394913955599522	0.00303694591461375	0.00264483996449806	0.00325554899775639	0.002189070441369	Multidrug efflux pump subunit AcrA (membrane-fusion protein)
COG0451	0.00284861584145334	0.00330829523617928	0.00250285335780207	0.00322614547807693	0.00323461035092323	0.00336622063431347	0.0029319002126944	0.00306539084408903	0.00291462396955009	0.00307498025836642	0.0033095878475116	0.00304587522474751	0.0026827780265047	0.00334819987134744	0.00261419376591691	0.00260297801867842	0.00322173852001605	0.00296651444176602	0.00357293574118476	0.00349712652510658	0.00314665886507397	0.00297572529196519	0.00286391185508979	0.0026846638747468	Nucleoside-diphosphate-sugar epimerase
COG0664	0.00264472940327214	0.0032640850670876	0.00237951004018631	0.00344007200053623	0.0029846822421279	0.00318493332402062	0.00268893999450915	0.00325488277381037	0.00290546033744436	0.00183924604738453	0.00326425217084182	0.00298721510338023	0.00269071982654556	0.00328126855409946	0.00256937134938899	0.00256502984782314	0.00308209308507268	0.0029412378512243	0.00317198311488131	0.00329976000829465	0.00279643439254979	0.00301566259604121	0.00304636229757637	0.00288989468103593	cAMP-binding domain of CRP or a regulatory subunit of cAMP-dependent protein kinases
COG1961	0.00266176694847148	0.00235412564682071	0.00337288031395314	0.00266141233947021	0.00323992863650854	0.00262256092835259	0.00284429351287034	0.00188575016506317	0.00290208138092019	0.00135556317172975	0.00284520176368224	0.00342694636684018	0.00359824934353043	0.00284822432783995	0.0030810619368055	0.00292625387819701	0.00310479201265723	0.0024260867430016	0.00255354642824209	0.00284105062752323	0.00292532745540091	0.00334366106866383	0.00283433915693434	0.00366975504943494	Site-specific DNA recombinase related to the DNA invertase Pin
COG1538	0.00183165196602672	0.00390192369211696	0.00146081567853955	0.00356362399333573	0.00320892375576859	0.00375660833514475	0.00248490214109902	0.00439722780412842	0.00251353709306933	0.00247585579597289	0.00260404331462967	0.00249292339947575	0.00207429674531217	0.0035159459095834	0.00211800928298653	0.00249870300891612	0.00276155310709788	0.00289690007818686	0.00347807061309475	0.00383137420272404	0.002959795991504	0.00240736826785834	0.00288754295360842	0.00180407405253678	Outer membrane protein TolC
COG2244	0.00253284356780864	0.00309544278908549	0.002542803461133	0.00273235619486465	0.00299117738910096	0.00302766068134974	0.00272422836296689	0.00290620737137336	0.00317324717982441	0.00186124203446609	0.00281950742049054	0.00286984966522614	0.00266923574693227	0.00306011452075509	0.0026740108129413	0.00251276311163965	0.00310567180848947	0.00272775215011462	0.00274294430910901	0.00307805680644382	0.00295769529560178	0.00283517273893724	0.00265992503445895	0.00276252379635036	Membrane protein involved in the export of O-antigen and teichoic acid
COG1629	0.00177336258252122	0.00402414585821842	0.00126004537216244	0.00328227910591114	0.0031437372105729	0.00370392712724804	0.00235878654202511	0.00437629744146765	0.00255420941728763	0.00173108221275099	0.00251191587180652	0.00237148757645262	0.00196035621626818	0.00350377237786609	0.00206216066756619	0.00228423802760288	0.00262723847721011	0.00306808200553138	0.00331102976680393	0.00371274648098575	0.00311069126693515	0.00225652210025548	0.00267984408340765	0.00171583191517986	Outer membrane receptor proteins, mostly Fe transport
COG1846	0.00352123484583808	0.00208069994176744	0.00334712645386038	0.00250357976787895	0.00280748327665828	0.00252425117406448	0.00284959561053522	0.00235927285888812	0.00285911342637085	0.00233399302595374	0.00267376929115888	0.00269378362120845	0.00318634059230084	0.0023703273812027	0.00298610994635457	0.00294264709430183	0.0028851960460499	0.00241725955891908	0.00248633902270471	0.00245937204053603	0.00254083736104713	0.00280213524102502	0.00289966947344348	0.00300844685599671	DNA-binding transcriptional regulator, MarR family
COG0436	0.00269548408039071	0.00295900629484786	0.00246346877266322	0.00272114393219193	0.00285967255281513	0.00296801098573184	0.00264364126003472	0.00314051876110979	0.00258129995071665	0.00208075439567544	0.00264059206362367	0.00267975949724759	0.00262493673010241	0.00284118967173979	0.00255995088374295	0.00269731386400492	0.00279408083861127	0.00277046437653448	0.002901975748275	0.00285914507796469	0.00260432634727957	0.00260585772473055	0.0026619376027881	0.00246637039939789	Aspartate/methionine/tyrosine aminotransferase
COG0488	0.0025568403691786	0.00286045258852531	0.00268385769433845	0.00269359371877382	0.00271128250113028	0.00294825246099238	0.00261888624226106	0.00276586976817717	0.002867773690319	0.00204567065961193	0.00270775422746344	0.00257097117809381	0.00265710475326164	0.00276483177337338	0.00261075484103934	0.00259380597726404	0.0027392113984088	0.00261841449110017	0.00276889602459237	0.00289992469495691	0.0027482397026437	0.0027605044275218	0.00271679212252345	0.00267003880046065	ATPase components of ABC transporters with duplicated ATPase domains
COG0778	0.00271870439950544	0.0028991517531404	0.00229548717323521	0.00304177061599839	0.00248718835487395	0.00275849735275666	0.00270161977974407	0.00276424159219876	0.00234327971276225	0.00249280935414584	0.00259059087119008	0.00236794569828112	0.00236926522270055	0.00276743248842394	0.00249199533472608	0.00271748690786688	0.00254722892394439	0.00256819591415013	0.00284278594286736	0.00274929262721884	0.00254173463467388	0.00259956218911266	0.00262328820108697	0.00243603926308561	Nitroreductase
