function	A011.337.951	A011.796.405	A065.688.849	A139.426.047	A257.868.269	A290.419.594	A328.260.254	A328.607.302	A475.161.163	A510.125.355	A517.753.353	A519.936.442	A603.130.471	A603.362.293	A627.062.688	A674.187.094	A712.481.521	A742.300.741	A750.812.113	A866.438.792	A896.860.089	A912.362.107	A912.836.594	A929.187.519	description
EC:1.1.1.1	54350.25	26887.7	48168.57	44171.68000000001	48617.17000000001	45359.38000000001	45206.06000000001	49583.26	48544.7	27908.22	44541.65	48464.01000000001	47931.38000000001	36689.16	35805.25	44076.88999999999	42323.97	39631.21	34994.990000000005	40145.75	40312.05	47656.67000000001	48475.6	40868.01	Alcohol dehydrogenase
EC:1.1.1.100	96861.04	63755.85	99464.55	87014.17000000001	104678.21	90286.92	83756.92000000001	90728.89	117621.03	40901.000000000015	105660.08999999998	103523.12	92535.92	90917.44	77726.26	83048.77	96238.9	85600.21999999999	73792.26999999999	90121.74	100344.59	97490.12	92977.02	84001.23	3-oxoacyl-[acyl-carrier-protein] reductase
EC:1.1.1.103	820.8	397.79	379.62	880.2	1122.97	1629.79	2510.8100000000004	742.6999999999998	849.27	9539.24	4807.88	1783.4	585.9300000000002	1572.98	771.1	2501.09	1724.4999999999998	1358.9899999999998	4628.87	476.33	813.8	218.02	410.0	425.75	L-threonine 3-dehydrogenase
EC:1.1.1.105	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	210.0	0.0	All-trans-retinol dehydrogenase (NAD(+))
EC:1.1.1.108	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	2.0	3.0	0.0	63.0	170.0	0.0	0.0	2.0	5.0	0.0	Carnitine 3-dehydrogenase
EC:1.1.1.11	0.0	0.0	0.0	69.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	1.5	0.0	0.0	7.25	D-arabinitol 4-dehydrogenase
EC:1.1.1.125	2457.6	213.29	269.5	1281.0	786.6	1118.08	1385.2599999999998	5212.5999999999985	1187.4	4626.62	6784.56	1037.4	979.7	1258.8	1201.5	507.74	1057.7	1448.88	523.58	1295.0	352.8	323.98	899.4	1034.0	2-deoxy-D-gluconate 3-dehydrogenase
EC:1.1.1.130	1815.2	66.92	221.5	354.8	202.8	362.36	1322.6	125.2	113.0	2164.2	1025.33	1352.47	1378.2	576.4	1149.5	189.57	144.13	1317.8	378.89	295.5	675.3	117.69	51.6	434.08	3-dehydro-L-gulonate 2-dehydrogenase
EC:1.1.1.132	16.2	355.0	365.6	944.0	198.2	0.0	62.4	113.6	298.2	0.0	189.0	133.4	581.4	363.0	11.6	54.8	5.199999999999998	94.4	279.4	56.0	0.0	2.0	41.6	1256.6	GDP-mannose 6-dehydrogenase
EC:1.1.1.133	39529.13000000001	33443.47	40390.66	48553.31000000001	48019.07	49716.02	35900.950000000004	45230.22	53426.16	20278.65	60977.73	51336.98	41981.04	46480.21000000001	34528.81	34471.54	49231.63	40982.83999999998	41861.58	53386.62	46878.38999999999	45466.58	50120.31999999999	40298.87	dTDP-4-dehydrorhamnose reductase
EC:1.1.1.136	224.5	422.33	398.4	1111.8	217.0	387.67	511.0	145.0	221.0	88.0	381.17	444.07	657.0	141.07	95.0	277.8	280.4	143.0	592.9	153.67000000000004	39.0	130.0	84.0	1410.6	UDP-N-acetylglucosamine 6-dehydrogenase
EC:1.1.1.137	366.5	10.5	10.0	53.0	59.5	221.0	202.5	18.0	0.0	0.0	76.0	9.0	252.5	126.0	34.0	45.5	150.5	90.5	255.0	10.0	101.5	257.33000000000004	268.0	170.0	Ribitol-5-phosphate 2-dehydrogenase
EC:1.1.1.14	15609.8	8402.029999999999	17571.870000000006	11383.0	21861.07	12672.17	13785.429999999997	16211.2	21431.47	11226.33	23252.300000000007	22043.34	20806.730000000003	13900.5	15233.1	14678.54	17552.059999999998	11461.4	12590.43	13813.5	15265.0	12157.33	17383.800000000007	15530.08	L-iditol 2-dehydrogenase
EC:1.1.1.140	352.7	70.94000000000003	405.75	169.75	302.25	423.39	2213.43	4561.2	73.8	4593.1100000000015	4504.08	2797.3	508.9	396.05	639.0	121.47	90.9	1920.09	806.8299999999998	94.25	261.85	102.09	1713.7000000000005	131.75	Sorbitol-6-phosphate 2-dehydrogenase
EC:1.1.1.157	21550.5	5921.8	18808.17	7104.33	8235.8	9957.14	13057.56	5246.5	17222.33	2568.54	15766.43	13035.6	17636.33	11465.56	11248.84	12753.8	17877.33	13951.99	9745.5	9083.0	11009.67	18464.29	9508.9	17676.58	3-hydroxybutyryl-CoA dehydrogenase
EC:1.1.1.159	2490.7	491.8	591.5	1235.8	1324.8	1966.0	2771.15	1031.95	660.5	1740.7	954.0	1749.3	915.2	627.4	905.83	1620.8000000000004	1449.3	2604.3	1323.85	1220.5	1186.3	628.15	1507.1	597.0	7-alpha-hydroxysteroid dehydrogenase
EC:1.1.1.163	84.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	Cyclopentanol dehydrogenase
EC:1.1.1.169	33978.3	19819.13	25318.520000000004	25714.25	31385.52	37497.25	24094.94	36687.12	20970.77	14961.24	33588.37	29296.41	26550.180000000004	25985.95	19489.93	23636.25	29863.730000000003	27668.19	26659.020000000004	27858.58	25889.9	25479.810000000005	26453.58	22066.590000000004	2-dehydropantoate 2-reductase
EC:1.1.1.17	1753.6	175.44000000000003	916.25	556.75	696.15	959.89	1982.33	4759.77	242.9	3475.41	1034.38	3198.4	1112.2	1813.32	1404.5	1429.77	709.37	1617.79	1888.54	614.25	485.55	841.69	3004.8	545.5	Mannitol-1-phosphate 5-dehydrogenase
EC:1.1.1.179	0.0	0.0	0.0	2.0	0.0	6.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	2.0	0.0	0.0	0.0	0.0	D-xylose 1-dehydrogenase (NADP(+))
EC:1.1.1.18	2915.83	2996.33	2467.75	5480.5	4494.5	3925.0	3909.3	3949.75	4232.5	2819.0	9472.08	8084.67	2389.5	6274.25	2888.5	3037.02	7849.83	5404.5	4711.0	7882.0	3061.1	6019.25	4377.1	6324.58	Inositol 2-dehydrogenase
EC:1.1.1.193	30320.6	24226.94	30279.71	32990.39	33582.14	38426.44	27106.47	41717.78000000001	33065.93	16362.02	33074.460000000014	30971.47	26849.26	32178.130000000005	22914.620000000006	27828.640000000007	29336.6	28514.29	27552.770000000004	33877.2	35635.27	29256.69	35216.18	22642.290000000005	5-amino-6-(5-phosphoribosylamino)uracil reductase
EC:1.1.1.2	236.0	0.0	0.0	0.0	0.0	6.0	126.0	0.0	0.0	0.0	1.0	0.0	0.0	6.0	24.0	26.0	13.0	36.0	121.0	0.0	0.0	21.5	0.0	3.0	Alcohol dehydrogenase (NADP(+))
EC:1.1.1.202	12.0	7.5	0.0	1.0	36.0	7.0	483.0	0.0	1257.0	30.0	44.5	24.0	12.5	1.4	63.5	115.0	379.0	37.5	0.0	37.0	20.0	432.0	235.83	1747.0	1,3-propanediol dehydrogenase
EC:1.1.1.203	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	Uronate dehydrogenase
EC:1.1.1.205	42692.37	30971.47	39290.710000000014	44434.52	41922.14	43197.71	37642.23	43714.13000000001	43902.03	17801.020000000004	44441.18	44129.04	38890.01	39984.05	33626.369999999995	36393.18999999999	39929.04	38220.99000000001	36756.12	40025.87	42125.62	40943.19	40996.05	36076.040000000015	IMP dehydrogenase
EC:1.1.1.206	252.0	11.0	0.0	45.0	0.0	39.0	0.0	0.0	10.0	52.0	0.0	24.0	0.0	33.0	0.0	11.0	8.0	13.0	0.0	0.0	0.0	0.0	0.0	18.0	Tropinone reductase I
EC:1.1.1.215	36.6	2.29	542.0	70.0	3.6	17.29	884.03	6.6000000000000005	0.4	2868.91	162.63	163.4	0.2	9.4	5.0	10.77	233.2	944.09	373.29	0.0	589.3	35.69	35.40000000000001	10.25	Gluconate 2-dehydrogenase
EC:1.1.1.219	2159.0	59.9	260.5	25.0	164.8	63.1	468.8	112.17	58.0	342.0	803.0	1062.0	1379.0	309.17	963.0	140.0	171.67000000000004	521.2	342.0	33.0	73.0	99.0	14.4	64.5	Dihydrokaempferol 4-reductase
EC:1.1.1.22	39300.63	36588.359999999986	33939.58	48444.13999999999	40206.32	48814.34	37197.81	57410.75000000001	48097.49	22593.88	60358.23	50909.5	35229.320000000014	52194.61	33380.0	35056.98	50995.87	39859.99000000001	41593.37	49908.48	42533.06	44051.02	38806.86	42890.34	UDP-glucose 6-dehydrogenase
EC:1.1.1.220	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	4.0	0.0	6-pyruvoyltetrahydropterin 2'-reductase
EC:1.1.1.23	38176.7	26519.37	35919.04	37307.03000000001	40606.77	41479.06	34634.150000000016	42394.47	40957.03	17146.020000000004	39763.68	40173.04	37393.76	35605.130000000005	31364.369999999995	33473.090000000004	37462.7	32600.94	33592.37	36897.95	36105.77	37647.02	38265.44	33156.210000000014	Histidinol dehydrogenase
EC:1.1.1.25	41913.82	28143.4	41242.21	41925.95	50074.53999999999	50294.71	40238.95000000001	45836.33	44634.73	18993.020000000004	49496.28000000001	48599.84	42626.26	42143.7	34374.869999999995	37480.039999999986	45123.07	40789.99	36687.61	41482.62	46687.52	41291.36	45557.27	39454.79	Shikimate dehydrogenase
EC:1.1.1.251	36.6	1.29	0.0	70.0	3.6	0.0	870.6	4435.5999999999985	0.4	1702.2	162.2	163.4	96.2	6.4	3.0	7.2	14.2	879.8	198.0	0.0	70.3	31.4	30.4	10.25	Galactitol-1-phosphate 5-dehydrogenase
