PID	A011.337.951	A011.796.405	A065.688.849	A139.426.047	A257.868.269	A290.419.594	A328.260.254	A328.607.302	A475.161.163	A510.125.355	A517.753.353	A519.936.442	A603.130.471	A603.362.293	A627.062.688	A674.187.094	A712.481.521	A742.300.741	A750.812.113	A866.438.792	A896.860.089	A912.362.107	A912.836.594	A929.187.519	Pathway	Pathway1	Pathway2
ko02010	1823020.7900000047	1027426.7700000004	1846562.269999999	1778540.2500000012	1948602.3000000059	1763504.0700000029	1605595.290000001	1616939.9900000002	2016110.2999999968	1171478.129999999	1924694.3299999954	2064149.3899999943	1923501.699999996	1517522.6999999995	1502593.0300000012	1490936.3899999992	1638171.9099999976	1682494.1200000017	1307499.4400000034	1538168.6600000006	1877116.260000005	1664521.1599999971	1983733.4199999976	1627371.3299999994	ABC transporters	Environmental Information Processing	Membrane transport
ko04152	86687.87000000001	63752.19000000001	92952.56	90546.91	118303.85	114554.67	88286.86000000002	110103.28	117665.65999999999	52787.409999999996	110866.74	115308.54999999999	100591.09	98652.89	76401.49	87612.40000000004	95390.51999999997	79012.98	89754.43999999999	100724.03	101892.53	100568.12	100963.23000000001	93789.39	AMPK signaling pathway	Environmental Information Processing	Signal transduction
ko00525	86725.06	59755.86	73287.66	78157.51	84086.94	84213.42	67227.52000000003	83089.94	86440.88	34336.530000000006	89621.19	80880.15	74805.01000000001	81468.04000000001	61842.759999999995	69786.14	76621.47000000002	76823.98000000001	73932.14000000001	87887.4	81445.05	72985.88	79517.07999999999	64656.34000000001	Acarbose and validamycin biosynthesis	Metabolism	Biosynthesis of other secondary metabolites
ko04920	72253.3	77423.45000000001	58321.14	98723.25	97434.91	117410.66	73613.73	122719.49	93102.52	31388.910000000003	89351.29999999999	93017.87	70118.2	101001.80000000002	57199.06000000001	66613.86000000002	84024.12	86226.33999999997	88598.22000000002	104347.69	93962.97999999998	89083.95	92198.53999999998	60138.48	Adipocytokine signaling pathway	Organismal Systems	Endocrine system
ko04261	0.0	104.0	81.25	113.0	136.5	0.0	116.75	123.0	0.0	0.0	87.25	0.0	43.0	935.25	11.5	25.25	6.0	7.5	12.5	59.0	19.5	0.0	0.0	0.0	Adrenergic signaling in cardiomyocytes	Organismal Systems	Circulatory system
ko05143	1801.6	75.19	463.25	117.33	402.9	123.14	1416.41	36.6	2025.9	3019.91	260.63	513.4	569.95	76.4	418.25	125.77	262.37	1494.79	1120.54	31.5	202.3	136.36	385.05	82.75	African trypanosomiasis	Human Diseases	Infectious disease: parasitic
ko00250	868385.3999999999	758324.8599999999	824044.0400000002	1035484.05	1131612.7999999998	1231154.01	858095.39	1146541.7200000002	1082735.0100000005	413155.01000000007	1038276.2	1069992.7700000003	916597.1800000002	999600.2600000002	742670.2399999999	804318.8399999999	955799.9799999997	894946.92	884501.4000000003	1047917.7699999997	1024206.4100000004	953770.9499999997	1025387.2999999999	781110.7199999997	Alanine, aspartate and glutamate metabolism	Metabolism	Amino acid metabolism
ko05034	15.0	9.5	42.5	0.0	0.0	18.5	39.0	5.0	10.0	15.0	31.33	48.67	10.0	0.4	269.5	30.17	13.33	5.0	12.0	197.5	56.0	1.0	19.0	345.83	Alcoholism	Human Diseases	Substance dependence
ko05010	45364.22	29980.54	47117.210000000014	39538.77	41953.04	43783.1	39929.01	46283.40000000001	46924.26	20255.93	42726.06000000001	46923.44	39970.960000000014	38746.12	32999.77	40619.11	42657.74	41678.53000000001	37462.780000000006	39447.12	45712.82	42977.88000000001	39726.5	36894.04	Alzheimer disease	Human Diseases	Neurodegenerative disease
Amino acid metabolism	54896.770000000004	39447.32000000001	52908.48000000001	59682.12	66848.44	67144.25	60837.52000000001	58877.650000000016	64038.04	49436.58000000001	64589.119999999995	67691.68	55556.990000000005	57130.899999999994	49079.06	51151.450000000004	56301.83	60776.46000000001	41669.58	51531.240000000005	60506.23999999999	51925.189999999995	55188.78	55721.95	Amino acid metabolism	Not Included in Pathway or Brite	Unclassified: metabolism
ko01007	1279912.5300000007	913197.1099999996	1156941.7899999998	1286147.9599999993	1380455.4399999992	1469214.0199999996	1168042.4900000002	1482780.6400000013	1352022.3500000006	641132.7900000003	1326760.2700000003	1362606.7200000002	1214714.6900000002	1230170.1700000004	1009212.4699999999	1133114.0199999996	1266010.49	1211006.3500000003	1149078.0200000003	1259675.0300000005	1343771.0200000003	1241088.4100000001	1283695.3599999992	1081414.9300000002	Amino acid related enzymes	Brite Hierarchies	Protein families: metabolism
ko00520	1078592.13	945686.5400000004	995302.2000000002	1287397.1800000002	1364991.5800000003	1517387.8	1094947.8200000003	1492206.6300000006	1370983.1400000001	642714.1299999997	1474847.54	1428485.4899999998	1152273.8899999992	1314873.2699999998	923460.5899999996	973636.9700000003	1325765.07	1135313.31	1202443.6700000006	1360952.4700000002	1316709.3400000008	1215418.3999999997	1250718.2299999995	1082778.0899999999	Amino sugar and nucleotide sugar metabolism	Metabolism	Carbohydrate metabolism
ko00970	999762.4799999999	641903.8299999997	912797.0599999997	894192.6199999996	974049.0200000001	999772.8799999998	863117.2000000001	1000549.9900000001	999335.7800000004	427760.8700000002	966435.8200000003	1001411.4900000002	918547.3100000002	871180.7300000001	770637.4599999998	849106.6799999997	934932.1699999998	875701.84	804989.85	874529.1599999999	979097.5900000001	929466.9600000002	928218.0399999996	827786.5900000002	Aminoacyl-tRNA biosynthesis	Genetic Information Processing	Translation
ko00627	51746.100000000006	9143.589999999998	31475.339999999997	15650.24	14593.0	11714.380000000001	29238.940000000002	18851.359999999997	15483.72	19138.7	21330.07	22692.69	27698.61	18156.449999999997	20630.510000000002	25071.76	26489.850000000006	33111.31	16631.739999999998	12524.92	20218.389999999996	24862.890000000003	23069.69	22793.64	Aminobenzoate degradation	Metabolism	Xenobiotics biodegradation and metabolism
ko05146	23299.980000000003	13017.56	24458.95	16982.75	19838.300000000003	20129.489999999998	22696.050000000003	7384.720000000001	32328.7	9674.619999999999	33453.86	27806.739999999998	19947.6	21682.54	17511.85	16036.210000000001	19384.6	17300.480000000003	20552.89	19638.17	17554.25	24436.27	20158.8	28246.58	Amoebiasis	Human Diseases	Infectious disease: parasitic
ko05031	15.0	9.5	42.5	0.0	0.0	18.5	39.0	5.0	10.0	15.0	31.33	48.67	10.0	0.4	269.5	30.17	13.33	5.0	12.0	197.5	56.0	1.0	19.0	345.83	Amphetamine addiction	Human Diseases	Substance dependence
ko05014	27203.15	25670.82	30925.09	30710.38	25742.49	29466.170000000002	25018.379999999997	35528.92999999999	33558.53	17712.46	19985.35	19300.24	17681.48	26837.420000000002	18626.800000000003	25499.22	19932.600000000002	22776.670000000002	26754.030000000002	25526.4	31225.15	22605.899999999998	24855.699999999997	11863.24	Amyotrophic lateral sclerosis	Human Diseases	Neurodegenerative disease
