pathway	A011.337.951	A011.796.405	A065.688.849	A139.426.047	A257.868.269	A290.419.594	A328.260.254	A328.607.302	A475.161.163	A510.125.355	A517.753.353	A519.936.442	A603.130.471	A603.362.293	A627.062.688	A674.187.094	A712.481.521	A742.300.741	A750.812.113	A866.438.792	A896.860.089	A912.362.107	A912.836.594	A929.187.519	Pathway	Pathway1	Pathway2
ko02010	0.0188879291778701	0.014623220904104	0.0205397164636959	0.0178959987720248	0.0180551031119292	0.0155070585086289	0.017905865989467	0.0145038973751412	0.0189826363348366	0.0224449849038842	0.0179847008389096	0.0193116207451571	0.0202874112426542	0.0157713102867762	0.0195257354192074	0.0177461584367452	0.0170345962729138	0.0183253524463555	0.0149917247610286	0.0155026334316832	0.0181724906063443	0.0172544115934678	0.0195987306666601	0.0193804695658059	ABC transporters	Environmental Information Processing	Membrane transport
ko04152	0.000898154512621001	0.00090737596557895	0.00103393167833689	0.000911099644874856	0.00109616426619644	0.00100731605917228	0.000984589761589818	0.000987622721722922	0.00110787809222468	0.00101138262014772	0.00103595938368311	0.00107879545785879	0.00106094671513773	0.00102527977925945	0.000992813922059265	0.00104282351806001	0.000991922145987296	0.000860591837513725	0.00102912002819692	0.0010151602717298	0.000986428536014947	0.00104248824067893	0.000997488438747009	0.00111694386215499	AMPK signaling pathway	Environmental Information Processing	Signal transduction
ko00525	0.000898539830270684	0.000850496762017125	0.000815194689690996	0.000786435225733303	0.000779121718201091	0.000740515688830668	0.000749732495742568	0.00074531396967097	0.000813881953533621	0.00065787220244715	0.000837437023559517	0.000756692703628116	0.0007889777279016	0.000846681065987018	0.000803627692425499	0.00083064301430652	0.000796751427197391	0.000836749735465207	0.000847702308670843	0.000885784622255735	0.000788475086811213	0.000756570985274497	0.00078560648250775	0.000769996500802553	Acarbose and validamycin biosynthesis	Metabolism	Biosynthesis of other secondary metabolites
ko04920	0.000748601014729731	0.00110195708888124	0.000648718810570908	0.000993371480218283	0.000902799584477312	0.00103242969785532	0.000820952572901983	0.00110078970147164	0.000876604459099711	0.000601397152074346	0.000834915121336522	0.000870249913433996	0.000739545360939728	0.00104969153168049	0.000743284235643876	0.000792884338709557	0.000873728179960588	0.000939158153289285	0.0010158628661111	0.00105168180159964	0.000909662021357226	0.000923443436232378	0.000910895756002988	0.000716193016239155	Adipocytokine signaling pathway	Organismal Systems	Endocrine system
ko04261	0	1.48021739206466e-06	9.03761540993306e-07	1.1370267618283e-06	1.26476376158353e-06	0	1.30201543769493e-06	1.10330586674547e-06	0	0	8.15280184357827e-07	0	4.53526338673957e-07	9.71986642816445e-06	1.49438971722692e-07	3.00543003399237e-07	6.23912405124092e-08	8.16883350223335e-08	1.43324389884907e-07	5.94639194163081e-07	1.88780830668269e-07	0	0	0	Adrenergic signaling in cardiomyocytes	Organismal Systems	Circulatory system
ko05143	1.86659929461642e-05	1.07016870874367e-06	5.1528311860326e-06	1.18059601739217e-06	3.73313787210261e-06	1.08280962728516e-06	1.57960401379484e-05	3.2830077010475e-07	1.90748110114539e-05	5.78600936929903e-05	2.43537506532012e-06	4.80323087979776e-06	6.01133341226098e-06	7.94009938638614e-07	5.43503042808835e-06	1.4970017242583e-06	2.7282649622068e-06	1.62809208410712e-05	1.28480569473307e-05	3.17476857900628e-07	1.95848010483029e-06	1.41350655156902e-06	3.804186170941e-06	9.85475058461572e-07	African trypanosomiasis	Human Diseases	Infectious disease: parasitic
ko00250	0.00899715572321933	0.010793131217375	0.00916602229460614	0.0104192307636846	0.0104851491691141	0.0108259332036603	0.00956962265348911	0.0102844407003613	0.0101944645299544	0.00791586093238816	0.00970184540688074	0.0100105615777646	0.00966746425777382	0.0103886458259914	0.00965077191257782	0.009573560390661	0.00993892440565598	0.00974756317708874	0.0101416498805877	0.0105615759034233	0.00991541214643924	0.00988678121532127	0.0101305393754539	0.0093022976731959	Alanine, aspartate and glutamate metabolism	Metabolism	Amino acid metabolism
ko05034	1.55411797398125e-07	1.35212165621291e-07	4.72736806058037e-07	0	0	1.6267645042046e-07	4.34934493105802e-07	4.48498319815233e-08	9.41547510314125e-08	2.87393136018906e-07	2.92753331529292e-07	4.5534329357179e-07	1.05471241552083e-07	4.15712009758437e-09	3.50206981558831e-06	3.59104253962574e-07	1.38612539338402e-07	5.4458890014889e-08	1.37591414289511e-07	1.99052950588489e-06	5.4213982140631e-07	1.03659911379365e-08	1.87714679256925e-07	4.11851165519958e-06	Alcoholism	Human Diseases	Substance dependence
ko05010	0.000470008997850932	0.000426708814725868	0.000524095043900372	0.000397846368316584	0.000388722964690582	0.000384998880886705	0.000445294967296577	0.000415160542706727	0.000441814201763327	0.000388094349711962	0.000399240230070872	0.000439002952852235	0.000421578677722865	0.000402680685388539	0.000428821886598726	0.000483476804546692	0.000443578219342636	0.000453953296250451	0.0004295464069514	0.000397572943200922	0.000442548929835335	0.000445508323207298	0.000392486695026328	0.000439373489134545	Alzheimer disease	Human Diseases	Neurodegenerative disease
Amino acid metabolism	0.000568773713136765	0.000561448164753271	0.000588512608202012	0.000600532457014586	0.000619395490332536	0.000590420986818592	0.000678470151872156	0.000528130541993387	0.000602948571273964	0.000947182250683301	0.000603532718178909	0.000633304962371227	0.000585966471219667	0.000593750031457707	0.000637767326914462	0.000608840016286174	0.000585456836136463	0.00066196371012686	0.000477781370420826	0.000519364322505497	0.000585765038349416	0.000538256059375669	0.000545249691383211	0.000663596277146136	Amino acid metabolism	Not Included in Pathway or Brite	Unclassified: metabolism
