function	A011.337.951	A011.796.405	A065.688.849	A139.426.047	A257.868.269	A290.419.594	A328.260.254	A328.607.302	A475.161.163	A510.125.355	A517.753.353	A519.936.442	A603.130.471	A603.362.293	A627.062.688	A674.187.094	A712.481.521	A742.300.741	A750.812.113	A866.438.792	A896.860.089	A912.362.107	A912.836.594	A929.187.519	description
K00001	11861.75	18334.03	10533.32	22823.55	26044.97	26665.6	15201.22	41344.92	18886.67	11767.08	16539.0	18671.4	17531.08	18781.25	12626.5	18688.47	14693.57	14867.45	19674.230000000003	23333.58	17902.35	17547.410000000003	20834.92	9276.1	E1.1.1.1, adh; alcohol dehydrogenase [EC:1.1.1.1]
K00002	236.0	0.0	0.0	0.0	0.0	6.0	126.0	0.0	0.0	0.0	1.0	0.0	0.0	6.0	24.0	26.0	13.0	36.0	121.0	0.0	0.0	21.5	0.0	3.0	AKR1A1, adh; alcohol dehydrogenase (NADP+) [EC:1.1.1.2]
K00003	31238.04	10734.4	31641.84	19166.26	24868.29	19281.27	24622.64	14881.95	24909.7	12384.33	28231.85	29197.74	28731.83	19299.24	23196.08	26037.94	25366.03	21568.45	17960.53	16576.17	23825.0	27224.83	24542.8	26919.66	E1.1.1.3; homoserine dehydrogenase [EC:1.1.1.3]
K00004	109.0	50.75	1.25	143.32999999999996	25.25	88.5	30.25	0.0	13.0	58.0	5.0	40.0	4.75	52.9	30.25	29.25	26.0	101.0	200.0	6.25	16.0	6.67	228.17	31.25	BDH, butB; (R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.4 1.1.1.- 1.1.1.303]
K00005	4212.97	4531.41	7494.0	6683.35	7825.6	9081.49	6173.510000000001	12815.8	13286.6	4965.41	10342.81	7370.57	7308.95	6424.15	6307.75	6197.54	8207.73	7504.24	5569.49	4570.0	7917.8	5416.19	10339.6	7898.58	gldA; glycerol dehydrogenase [EC:1.1.1.6]
K00007	0.0	0.0	0.0	69.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	1.5	0.0	0.0	7.25	dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11]
K00008	15609.8	8402.029999999999	17571.870000000006	11383.0	21861.07	12672.17	13785.429999999997	16211.2	21431.47	11226.33	23252.300000000007	22043.34	20806.730000000003	13900.5	15233.1	14678.54	17552.059999999998	11461.4	12590.43	13813.5	15265.0	12157.33	17383.800000000007	15530.08	SORD, gutB; L-iditol 2-dehydrogenase [EC:1.1.1.14]
K00009	1753.6	175.44000000000003	916.25	556.75	696.15	959.89	1982.33	4759.77	242.9	3475.41	1034.38	3198.4	1112.2	1813.32	1404.5	1429.77	709.37	1617.79	1888.54	614.25	485.55	841.69	3004.8	545.5	mtlD; mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17]
K00010	2915.83	2996.33	2467.75	5480.5	4494.5	3925.0	3909.3	3949.75	4232.5	2819.0	9472.08	8084.67	2389.5	6274.25	2888.5	3037.02	7849.83	5404.5	4711.0	7882.0	3061.1	6019.25	4377.1	6324.58	iolG; myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]
K00012	39300.63	36588.359999999986	33939.58	48444.13999999999	40206.32	48814.34	37197.81	57410.75000000001	48097.49	22593.88	60358.23	50909.5	35229.320000000014	52194.61	33380.0	35056.98	50995.87	39859.99000000001	41593.37	49908.48	42533.06	44051.02	38806.86	42890.34	UGDH, ugd; UDPglucose 6-dehydrogenase [EC:1.1.1.22]
K00013	38176.7	26519.37	35919.04	37307.03000000001	40606.77	41479.06	34634.150000000016	42394.47	40957.03	17146.020000000004	39763.68	40173.04	37393.76	35605.130000000005	31364.369999999995	33473.090000000004	37462.7	32600.94	33592.37	36897.95	36105.77	37647.02	38265.44	33156.210000000014	hisD; histidinol dehydrogenase [EC:1.1.1.23]
K00014	41898.82	28141.4	41242.21	41925.95	50074.53999999999	50294.71	39946.95000000001	45836.33	44624.73	18993.020000000004	49491.28000000001	48595.84	42621.26	41918.7	34372.869999999995	37458.039999999986	45117.07	40784.99	36675.61	41481.62	46677.52	41287.36	45557.27	39454.79	aroE; shikimate dehydrogenase [EC:1.1.1.25]
K00015	204.0	2.0	288.0	95.0	70.0	60.0	35.0	19.0	293.0	36.0	3824.0	910.0	0.0	8.0	43.0	2.0	0.0	139.0	5.0	0.0	0.0	28.0	0.0	34.0	gyaR, GOR1; glyoxylate reductase [EC:1.1.1.26]
K00016	28908.79	8364.83	24074.34	13722.34	20052.79	16743.02	19132.46	19984.2	20708.2	4717.0	21785.68	25818.81	26043.0	12602.54	20148.25	18810.99	20923.55	19971.95	13801.45	11902.26	16339.0	20382.0	20016.53	21215.57	LDH, ldh; L-lactate dehydrogenase [EC:1.1.1.27]
K00018	19839.93	21521.55	24640.700000000004	26215.45	37611.4	34827.9	21084.53	34613.45	33477.630000000005	7806.45	30844.38	30159.37	28809.15	29747.9	22787.53	22065.72	26404.33	23368.45	21501.5	32377.45	33870.7	30751.0	28233.8	22279.880000000005	hprA; glycerate dehydrogenase [EC:1.1.1.29]
K00019	73.0	60.33	846.0	285.0	65.0	259.0	43.0	135.0	457.0	20.0	258.0	219.0	68.0	83.0	60.0	146.0	397.0	273.0	206.0	130.0	563.0	49.0	42.0	87.0	E1.1.1.30, bdh; 3-hydroxybutyrate dehydrogenase [EC:1.1.1.30]
K00020	17189.85	3477.79	9100.5	9204.8	4859.37	3574.0	7757.49	9263.77	6999.77	7336.83	6670.63	8346.67	10160.33	4686.9	7461.5	9991.44	7159.93	7928.5	7636.93	4612.83	7282.5	7012.33	9400.2	6204.83	mmsB, HIBADH; 3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]
K00021	236.0	0.0	0.0	0.0	0.0	0.0	413.0	0.0	0.0	0.0	0.0	0.0	0.0	231.0	24.0	26.0	14.0	36.0	121.0	0.0	10.0	24.5	0.0	3.0	HMGCR; hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34]
K00023	98.0	57.67	1744.0	0.0	0.0	0.0	309.33	327.0	512.0	0.0	0.0	860.0	0.0	0.0	56.0	724.0	221.0	140.0	333.0	362.0	519.0	0.0	26.0	6.0	phbB; acetoacetyl-CoA reductase [EC:1.1.1.36]
K00024	20330.13	32038.870000000006	15269.14	42987.06	42348.67	52495.44	27600.59	53078.8	31720.300000000007	16762.270000000004	31315.63	33126.6	24338.16	41553.890000000014	18297.97	22834.47	32184.8	33303.19	37794.42000000001	46002.03	37747.37	28392.69	37428.47	18658.48	mdh; malate dehydrogenase [EC:1.1.1.37]
K00027	26583.54	7423.6399999999985	28330.92	19797.88	19478.52	16090.81	19679.66	8693.03	22048.83	7049.91	21827.01	22926.41	24632.2	14948.06	19923.83	18428.46	20562.13	15691.04	11234.68	14831.59	19212.8	22519.69	24937.99	24181.49	ME2, sfcA, maeA; malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38]
K00028	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	5.0	0.0	0.0	0.0	124.0	0.0	E1.1.1.39; malate dehydrogenase (decarboxylating) [EC:1.1.1.39]
K00029	12452.68	19699.62	11619.54	35012.98000000002	23176.22	26247.69	15334.89	35858.450000000004	19976.6	13249.02	15587.38	18649.2	16437.010000000002	25912.14000000001	13304.87	16456.32	18176.6	21047.04	21714.770000000004	27479.28	25947.77	16727.02	35941.27	10291.13	E1.1.1.40, maeB; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]
K00030	3864.75	918.23	1653.75	1134.75	1024.75	662.17	1881.7	4833.0	840.0	444.0	1677.42	1911.27	3076.5	1871.92	2335.5	1880.75	2258.0	1289.25	1562.75	295.42	669.5	395.0	612.5	878.0	IDH3; isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]
K00031	31570.95	22973.56	32793.37	27892.7	37888.52	37340.39	31375.620000000006	36108.47	37331.2	15664.94	36396.26	36622.27	31814.180000000004	31567.800000000007	23592.03	29484.76	32438.2	28452.69	30947.870000000006	33181.78	31026.35	33173.270000000004	32228.269999999997	29367.38	IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]
K00032	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	E1.1.1.43; phosphogluconate 2-dehydrogenase [EC:1.1.1.43]
K00033	9744.72	13727.87	6168.19	20153.74	21751.47	26727.04	13752.89	21150.120000000006	16110.43	7017.49	17646.88	16992.8	13119.179999999997	18767.82	7795.69	7210.0	15513.239999999998	16022.74	17381.440000000002	21394.67	14990.07	12536.19	17572.1	8776.51	PGD, gnd, gntZ; 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]
K00034	237.25	20.5	4.5	42.5	20.0	89.5	128.5	2.5	35.0	246.5	60.0	26.0	18.5	77.0	53.5	21.0	44.5	76.0	42.0	11.5	20.0	24.0	263.5	15.5	gdh; glucose 1-dehydrogenase [EC:1.1.1.47]
K00036	9600.8	13435.62	6659.77	19925.41	21419.8	26631.04	13661.64	21076.620000000006	13268.43	6854.49	17587.88	16678.8	12569.929999999997	18667.980000000003	7079.940000000001	7147.0	15645.07	16200.24	17863.190000000002	21669.0	15505.07	12513.19	17042.519999999997	8724.68	G6PD, zwf; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]
K00039	0.0	0.0	0.0	69.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	1.5	0.0	0.0	7.25	rbtD; ribitol 2-dehydrogenase [EC:1.1.1.56]
K00040	2563.45	2190.38	6504.5	3396.8	5849.8	6457.79	4003.03	2242.370000000001	11852.5	4905.41	9322.76	5154.47	4362.7	4440.57	4365.0	3201.640000000001	4229.13	3564.09	1818.39	3486.5	4418.3	4150.690000000001	4494.6	3581.58	uxuB; fructuronate reductase [EC:1.1.1.57]
K00041	9383.45	16397.8	9440.7	17732.2	26019.25	30631.19	14383.43	18070.550000000007	23322.2	8450.11	20310.01	18355.27	14590.35	19038.05	11469.2	8082.590000000001	16250.03	15105.04	15914.79	21938.45	16952.5	15162.94	18329.7	9068.63	uxaB; tagaturonate reductase [EC:1.1.1.58]
K00042	3767.8	3392.4300000000007	3984.0	9381.8	5036.4	5050.29	4800.530000000002	3844.3	5685.4	5380.11	6756.96	8895.07	6993.4	3713.2	5987.83	4903.34	3170.83	7648.8899999999985	2248.64	4870.5	7743.1	4300.09	8132.0	5374.58	garR, glxR; 2-hydroxy-3-oxopropionate reductase [EC:1.1.1.60]
K00045	1274.2	1808.0	290.7	368.2	1659.2	8.0	206.9	359.6	408.2	0.0	1718.5	121.0	75.4	1917.5	34.6	579.5	15.8	658.4	555.0	1845.0	277.0	2.0	360.6	0.0	E1.1.1.67, mtlK; mannitol 2-dehydrogenase [EC:1.1.1.67]
K00046	22672.7	20396.49	20093.700000000004	21568.2	28914.25	32980.9	20491.83	33187.55	36290.7	8603.400000000001	29809.74	26888.21	24946.35	26577.05	20137.7	17855.760000000002	23369.69	21900.75	20475.79	28031.45	24672.0	23309.15	22480.7	15746.04	idnO; gluconate 5-dehydrogenase [EC:1.1.1.69]
K00048	12168.65	15763.490000000002	17316.1	23563.3	34620.5	34695.0	15473.25	34926.55	29990.2	8043.7	27885.08	27050.47	23931.35	23199.65	16576.35	16298.02	22890.33	16588.199999999993	19371.54	28814.0	25614.8	21042.15	27665.95	18823.18	fucO; lactaldehyde reductase [EC:1.1.1.77]
K00050	1278.0	907.99	2044.0	5280.0	2692.0	821.0	1165.86	2252.0	5250.0	336.0	4464.0	4909.6	3444.0	1377.0	2607.0	1581.0	1893.0	4480.0	592.0	3026.0	2863.0	3614.0	3647.0	3854.0	ttuD; hydroxypyruvate reductase [EC:1.1.1.81]
K00052	37861.2	26634.22	36083.79	37491.86	40670.22	42398.46	34509.60000000001	42357.47	39887.53	17334.020000000004	39818.18	40411.04	36853.51	36434.63000000001	30951.119999999995	34173.340000000004	37150.2	30309.74	33609.87	36994.2	36586.27	37977.52	38078.539999999986	33683.460000000014	leuB, IMDH; 3-isopropylmalate dehydrogenase [EC:1.1.1.85]
K00053	37748.2	24963.22	35631.04	34666.36	40797.22	41527.96	34620.35000000001	41059.47	39934.03	17392.520000000004	39714.18	39908.04	36349.26	35165.630000000005	30044.869999999995	32925.34	37148.7	31895.24	34093.12	36338.2	34756.27	37964.02	34548.289999999986	33720.460000000014	ilvC; ketol-acid reductoisomerase [EC:1.1.1.86]
