KO_Hierarchy	A011.337.951	A011.796.405	A065.688.849	A139.426.047	A257.868.269	A290.419.594	A328.260.254	A328.607.302	A475.161.163	A510.125.355	A517.753.353	A519.936.442	A603.130.471	A603.362.293	A627.062.688	A674.187.094	A712.481.521	A742.300.741	A750.812.113	A866.438.792	A896.860.089	A912.362.107	A912.836.594	A929.187.519	KEGG_Description
K03088	0.00584135577654441	0.00649857322393196	0.00654767672922179	0.00595171838113325	0.00655260926074016	0.00644316406911958	0.00634006028350095	0.00609474154387964	0.00689385092151725	0.0038896612061462	0.00651085445249155	0.00643081830280349	0.00660094591382948	0.00679739057258205	0.00626488207179507	0.00633391705287587	0.00667952757891412	0.00567418255268133	0.00632028863716244	0.0069409817559453	0.00620092873756575	0.00688534043933589	0.00592296713044173	0.00680682522983789	rpoE; RNA polymerase sigma-70 factor, ECF subfamily
K02004	0.00494034072469935	0.0053877065137853	0.00544049659698411	0.00513026271156762	0.00632098812950961	0.00596883462451568	0.00503263682003181	0.00557735713714851	0.00572972235865929	0.00291707572502476	0.00548852575625726	0.00572713070241027	0.00569950522817427	0.00575773465343477	0.00502869878053106	0.00533604853745263	0.00579578729945941	0.00452783294314854	0.00538673743789108	0.00596113876705851	0.00529480365378005	0.00557899884613175	0.00571564033427592	0.00567872265041908	ABC.CD.P; putative ABC transport system permease protein
K01990	0.00579267781173987	0.00392618826860593	0.00627325144283526	0.00380941201454709	0.00483029233017967	0.00423513432332524	0.00517365985305273	0.00313522657002665	0.00531835446825088	0.00300836334213386	0.0053349490638022	0.00506786487935958	0.00562602775127531	0.00427763141339093	0.00531243889784716	0.00509783255964243	0.00525550979559956	0.0041134524212021	0.0045269021431319	0.00455978504880071	0.00456141987898265	0.00558313003360606	0.00480355296006531	0.00577415129431551	ABC-2.A; ABC-2 type transport system ATP-binding protein
K06147	0.00531160884547688	0.00426382911027719	0.00593626524068266	0.00385998289207769	0.00529444579500554	0.00471909862392954	0.00475476916509355	0.00330049473465869	0.00532601942471121	0.00162484291966644	0.00487440379039705	0.00506854892904136	0.00556356080938991	0.00438384263934791	0.00521980218250278	0.00488539480967952	0.00475794859829626	0.00393058142660063	0.00435622335549271	0.0044459599146104	0.00473228990593131	0.00523087694325239	0.00488337634547835	0.00556463032802636	ABCB-BAC; ATP-binding cassette, subfamily B, bacterial
K01992	0.00504395353387051	0.00399559145421797	0.00556372738795869	0.00429838747747541	0.0045035468287811	0.00403184813754765	0.00458078227586508	0.00334966935734678	0.00510485766005679	0.00280882021323397	0.0050616698398118	0.00451933735927898	0.0050363286253972	0.00437950186254487	0.00474943923922138	0.00453425915110507	0.00463412025500711	0.00386019986272893	0.00418450337300083	0.00475253824617305	0.00449472012287943	0.00498955924827886	0.00478643813761069	0.00480230153562804	ABC-2.P; ABC-2 type transport system permease protein
K02003	0.004516820165381	0.00383180898630369	0.00529269549204055	0.00370749196125897	0.00473413917724941	0.00421880851292122	0.00431135833675043	0.00348986278117924	0.00501290343713177	0.002633608468453	0.00472071628919307	0.00467357204730728	0.00495040850067923	0.00419579341158699	0.00454323648555071	0.00456715727440019	0.00455516695624123	0.00346180064415901	0.00411442819518043	0.00429784814970598	0.00418027416922178	0.0047800183435127	0.0044650809118922	0.00500723427535666	ABC.CD.A; putative ABC transport system ATP-binding protein
K01190	0.00193257095956872	0.00405868528503043	0.00198063936733104	0.00364738469167202	0.00433043886004133	0.00490171571766733	0.00270421247884032	0.00466737367039356	0.00326892018455259	0.00316030513023979	0.00320949184592051	0.00315409928727491	0.00284482772804565	0.00396955733106516	0.00243921103689071	0.0027086810698474	0.00325597027937688	0.00298309083160886	0.00425241991432465	0.00432822944798911	0.00350276287199118	0.00302680826711244	0.00352078919449719	0.00209013676286074	lacZ; beta-galactosidase [EC:3.2.1.23]
K05349	0.00163378712945771	0.00361480270295868	0.00198439436122269	0.003406285174376	0.00350874297279231	0.00411296397333406	0.00261184257462188	0.00387464289190823	0.00336247900298537	0.00189810313724965	0.00373191552255501	0.00310034326237584	0.00257016518402858	0.00365402169927522	0.0023490189004679	0.00225040088341763	0.00299297836805458	0.00266497685741038	0.00351016546430424	0.00388653103052147	0.00289045131363548	0.00296600219151594	0.00320145298415069	0.00252089218449606	bglX; beta-glucosidase [EC:3.2.1.21]
K02529	0.00224320761227788	0.00270546655359512	0.00320220179751845	0.00218516351466854	0.00273222465605019	0.00271989010708409	0.00270981059455264	0.00206552883785332	0.00326988914408962	0.00198886060105258	0.00359425976488132	0.00293892117056741	0.00309935557155578	0.00287332565676024	0.00282024585609198	0.00242307650739258	0.00309443677882885	0.00257456541930636	0.00234212612726977	0.00270603324567682	0.00278008383533019	0.00280294262282773	0.00268993132427088	0.00301066972575507	lacI, galR; LacI family transcriptional regulator
K07024	0.00220779530717467	0.00215959070159666	0.00278501737353042	0.00214123334586522	0.00245707372563704	0.00224585390403792	0.0023452321756328	0.00231196413546904	0.00268615898761145	0.00200906657797854	0.00271770586802569	0.00261478129036773	0.00276680789161202	0.00213809703025047	0.00264801939578326	0.00237059048209829	0.00253593732727947	0.00232463734286312	0.00240646782281506	0.002345815659961	0.00227655209961199	0.00257457663157938	0.00258160369235998	0.0028730416783962	SPP; sucrose-6-phosphatase [EC:3.1.3.24]
