pathway	A011.337.951	A011.796.405	A065.688.849	A139.426.047	A257.868.269	A290.419.594	A328.260.254	A328.607.302	A475.161.163	A510.125.355	A517.753.353	A519.936.442	A603.130.471	A603.362.293	A627.062.688	A674.187.094	A712.481.521	A742.300.741	A750.812.113	A866.438.792	A896.860.089	A912.362.107	A912.836.594	A929.187.519	description
1CMET2-PWY	33048.0718	26963.5376	33357.9246	34797.4677	41397.0751	42891.5703	33101.9762	42629.3243	39717.7632	18097.8116	38604.8202	39037.8343	34546.8551	36267.7373	28322.5434	31892.9227	36495.5222	34428.1153	33155.3517	37470.9437	39116.3678	36150.1921	37035.2576	30871.4169	N10-formyl-tetrahydrofolate biosynthesis
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	57.8807	2.0584	0.0	103.0541	5.0215	23.0305	996.2042	9.209	0.5599	3095.7612	207.9497	219.2538	0.28	13.7704	4.5322	15.697000000000001	21.7827	1179.4226	448.2388	0.0	96.5175	43.677	52.0106	16.7536	4-hydroxyphenylacetate degradation
AEROBACTINSYN-PWY	0.0	0.0	0.0	0.0	0.0	17.29	7.43	0.0	0.0	1166.71	0.43	0.0	0.0	0.0	0.0	0.57	0.0	1.29	0.0	0.0	0.0	2.29	0.0	0.0	aerobactin biosynthesis
ALL-CHORISMATE-PWY	638.9778	149.8142	0.0	816.7191	62.7826	186.4131	4764.1335	224.9007	27.3091	9531.9168	1222.4296	1788.8161	9.6645	206.4362	225.5716	351.4826	597.237	3917.9462	2345.0031	0.0	1121.7174	655.9373	519.1041	344.5528	superpathway of chorismate metabolism
ANAEROFRUCAT-PWY	32757.3265	22103.1282	28620.5495	32257.7739	39530.1255	38757.5129	32918.9909	37325.9579	36222.691	14043.9821	37620.3945	40243.8389	34614.8041	31798.2553	25511.9082	27617.9585	34557.1443	35866.8343	31628.7183	32049.3341	33484.9043	34947.7047	36881.5811	29637.6578	homolactic fermentation
ANAGLYCOLYSIS-PWY	47133.5132	32714.7322	44557.0733	44272.5622	50744.9218	51695.4123	43658.1089	51050.0161	50550.4095	23668.0636	52557.9792	53063.2896	45798.5458	47014.5246	37718.8264	41061.4213	48827.619000000006	44073.0494	43596.43	47947.2062	48592.4305	47537.5075	46334.7758	43127.6132	glycolysis III (from glucose)
ARG+POLYAMINE-SYN	5744.9412	5444.7603	7973.2594	14609.0473	6630.0144	9916.0385	7884.098000000001	13304.2412	6438.1248	8332.5428	5318.763000000001	9784.5021	10071.1974	7537.8033	9685.9527	8469.0317	3745.038	11417.696000000002	3387.7683	6013.1817	10603.9901	6885.6682	12536.3291	7374.654	superpathway of arginine and polyamine biosynthesis
ARGDEG-PWY	75.0237	2.6051	0.0	145.0335	8.3178	0.0	1395.7455	15.324000000000002	0.9285	3305.8351	299.3653	319.1296	0.4666	15.5761	8.9132	17.535999999999998	32.1342	1722.3638	410.6191	0.0	156.9526	61.0234	74.4006	22.1082	superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation
ARGORNPROST-PWY	5020.3203	1756.9571	2774.8055	1721.2431	1314.8067	2807.5602	3500.0528	1141.0641	1753.2571	721.692	6333.1927	3927.4736	2245.469	2143.9827	2007.0243	3211.0999	3394.4435	3264.7721	3175.0228	2004.5816	2290.8743	3702.9067	1885.2431	3375.1342	arginine, ornithine and proline interconversion
ARGSYN-PWY	35480.3484	17303.6761	35117.888999999996	24528.5717	28420.9113	30031.702	29923.4574	30526.5104	30770.8474	16748.8363	32956.5678	32818.1608	30885.0734	27391.9928	25775.7654	29384.8432	31476.6554	28183.9283	26712.4433	25517.0504	28900.1976	33378.9163	30864.4164	28638.7641	L-arginine biosynthesis I (via L-ornithine)
ARGSYNBSUB-PWY	35868.4233	14955.1312	35080.336	20971.1861	25939.5448	25935.8864	29751.1277	24083.9262	29929.6307	17874.1027	31083.2297	31694.2908	29748.6491	24780.1607	25233.5936	29444.1154	30713.2446	28016.7718	25678.8473	21027.0813	28438.8599	32119.041	26120.702	28267.7582	L-arginine biosynthesis II (acetyl cycle)
ARO-PWY	42998.3831	24063.5446	40312.9507	36889.4841	42220.6488	42956.236	38068.6734	38770.9008	43478.4511	19617.9806	42908.4246	43908.0141	39903.5296	35926.5352	32995.2739	36086.877	41126.4321	37755.8067	34688.4699	36236.7481	41688.1734	41132.4201	40230.0701	37223.0578	chorismate biosynthesis I
ASPASN-PWY	39194.1376	32076.3277	35010.383	39460.5704	43580.0231	48673.7878	34714.4181	44715.8704	42736.0917	12225.6615	40112.9694	42403.5069	38159.5023	39845.1977	29379.9054	32782.0298	38471.791	33557.5013	32866.3427	41229.8011	42994.2892	41814.4433	39128.542	31583.2197	superpathway of L-aspartate and L-asparagine biosynthesis
AST-PWY	36.6	1.29	0.0	70.0	3.6	17.29	881.6284	33.1	0.4	2868.91	162.63	163.4	0.2	9.878	5.6122	11.2607	14.2	956.0514	398.2107	0.0	70.3	36.0728	37.6405	10.25	L-arginine degradation II (AST pathway)
BIOTIN-BIOSYNTHESIS-PWY	19219.2967	28209.0371	13174.1996	36105.6493	41870.3048	48946.6223	24295.5408	45819.2612	28815.2926	14042.5526	15580.6866	27795.905	23260.3568	33798.0113	18820.2682	22033.131	22811.5753	26177.1918	27576.2598	36611.4616	31468.2121	25461.9825	33647.7864	9183.4032	biotin biosynthesis I
BRANCHED-CHAIN-AA-SYN-PWY	46904.0492	29492.4422	42992.9856	41244.7592	47407.0238	47505.467000000004	41509.6408	47921.1568	48156.7933	21720.0828	49571.1648	48078.5859	44027.3925	42458.5992	36470.1094	39500.9607	43822.3729	38761.7968	39983.1409	42649.4492	43107.8259	43927.6639	42893.2314	39211.496	superpathway of branched amino acid biosynthesis
CALVIN-PWY	47192.3876	34667.8603	43486.0916	44376.9623	52447.4733	53282.3357	41810.6847	52321.9412	48905.40900000001	20735.636000000002	48070.0775	52119.0879	44795.2779	45428.8161	37862.2397	40718.3473	45349.9447	44717.7126	39677.6455	44803.0392	48260.4669	43552.3553	46788.5718	39161.2957	Calvin-Benson-Bassham cycle
CATECHOL-ORTHO-CLEAVAGE-PWY	6.0	0.0	0.0	0.0	0.0	0.0	3.6	0.0	0.0	0.0	0.0	0.0	0.0	3.0	2.0	3.3333	0.0	63.0	172.4608	0.0	0.0	2.0	6.5816	0.0	catechol degradation to &beta;-ketoadipate
CENTFERM-PWY	957.5975	88.8928	5220.57	1532.3174	432.967	1506.9625	5170.5155	1470.5263	5963.085	1348.1456	1676.9694	3579.5189	298.1122	714.0324	533.3169	2629.8529	1806.0988	5436.6249	3200.1029	1514.2849	3551.3101	745.7367	427.0686	631.6876	pyruvate fermentation to butanoate
CHLOROPHYLL-SYN	0.0	2.0358	70.0395	0.0	0.0	0.0	0.0	126.4063	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.506	0.0	0.0	0.0	0.0	0.0	2.3105	0.0	chlorophyllide a biosynthesis I (aerobic, light-dependent)
COA-PWY	38675.6826	27384.217	36535.1753	37249.592000000004	40626.4576	42250.8768	34309.5891	43073.5656	40232.6289	18461.1606	39150.8518	39841.9635	35813.3964	36342.1271	31171.7662	34557.5828	37649.8867	35830.9369	34358.8147	37399.2092	40376.4882	36767.1514	38410.782999999996	31391.1116	coenzyme A biosynthesis I
COBALSYN-PWY	35200.1222	22151.7638	31931.5345	32638.5246	38731.0076	42737.6987	28134.929	37455.7282	36461.7231	15441.7348	36794.8218	39347.235	36392.2345	29069.9799	27944.2796	28114.6248	33416.7573	28400.5532	26916.7703	32865.8692	32728.9211	34703.1818	31667.9502	32742.9859	adenosylcobalamin salvage from cobinamide I
CODH-PWY	3302.8525	3473.4603	1272.9447	6773.6371	2041.521	0.0	232.1549	5018.4219	2037.0571	255.5959	2935.4754	3345.7302	2767.2314	4110.4616	2637.6826	2809.2225	1287.0717	2345.3465	20.9932	1353.1715	4077.3059999999996	1744.9094	7126.0218	1146.2881	reductive acetyl coenzyme A pathway
COLANSYN-PWY	22476.8827	13409.8719	14857.0462	25202.8837	20631.1449	24165.3319	23423.1744	24045.8828	20231.834	14969.2746	20394.7436	23894.3708	19841.8235	19041.9456	17160.1264	20444.131	22956.8181	23710.379	24526.425	15149.9321	22060.4719	21452.9925	21975.5301	16773.3634	colanic acid building blocks biosynthesis
COMPLETE-ARO-PWY	44688.7104	25571.5919	42060.0283	38753.8154	44507.24	45477.819	39849.8015	41601.6834	45483.0721	20932.5855	44766.1434	45723.0473	41496.5924	37970.9043	34347.5059	37625.1862	42765.2519	39271.0102	36744.0743	38371.0044	43733.4582	42781.4697	42296.7946	38785.3929	superpathway of aromatic amino acid biosynthesis
CRNFORCAT-PWY	0.0	0.0	0.0	0.0	0.0	0.0	8.897	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	creatinine degradation I
DAPLYSINESYN-PWY	36792.3864	16103.7722	35210.4639	21327.2222	28478.3042	25325.1369	30454.4676	18525.9462	33638.851	12179.7936	28350.6171	34983.4799	31015.6477	25056.3739	25477.5949	29552.2196	30258.1662	26997.3525	21827.4874	22639.5843	30036.4987	32736.1543	26172.4399	29163.623	L-lysine biosynthesis I
DENITRIFICATION-PWY	0.0	3.9359	0.0	0.0	3.9376	0.0	28.7488	0.0	0.0	0.0	0.0	3.9428	0.0	0.0	3.9681	0.0	0.0	0.0	0.0	0.0	3.9827	5.9499	7.6394	0.0	nitrate reduction I (denitrification)
DENOVOPURINE2-PWY	31314.8259	27423.0733	25090.6816	38529.2424	39182.5915	43414.5125	27237.974	44990.8505	34906.1864	17948.9516	33108.5646	34217.4524	27811.3474	33969.0448	25207.3509	30031.8953	25507.2252	32986.7927	32863.2574	34276.3376	37982.1557	26542.7436	37218.1045	17608.745	superpathway of purine nucleotides de novo biosynthesis II
DHGLUCONATE-PYR-CAT-PWY	0.0	0.0	0.0	0.0	0.0	0.0	5.6932	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.7099	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.8666	0.0	glucose degradation (oxidative)
DTDPRHAMSYN-PWY	41354.995	32719.4496	37533.3964	42038.9717	43349.3228	43587.0552	34880.2825	41620.546	46636.3815	17831.2403	49673.2626	42326.6924	38345.0888	41767.5214	31560.8587	34618.515	40480.8024	38224.4613	37772.9982	45909.7562	43350.7508	40077.1085	41428.3499	33789.9136	dTDP-L-rhamnose biosynthesis I
ECASYN-PWY	89.2776	3.2229	0.0	171.7918	8.8935	42.7287	1728.0739999999998	14.1048	0.9998	4037.8535	362.0756	392.31800000000004	0.4999	15.9697	7.4799	19.3611	35.2004	1754.9199	484.2001	0.0	253.4605	70.8931	74.9725	25.5309	enterobacterial common antigen biosynthesis
ENTBACSYN-PWY	193.4204	98.3133	0.0	401.3249	19.1598	179.798	3519.2195	35.0901	3.0694	7631.6629	840.6399	841.2659	1.0666	33.9829	41.0263	66.0789	95.1967	3599.8629	993.4655	0.0	376.8214	204.0209	444.7371	76.1461	enterobactin biosynthesis
FAO-PWY	423.3161	49.0722	1836.7655	878.3096	230.9584	885.1283	3170.5063	328.8117	3888.5616	6974.1115	882.6871	925.1783	170.5732	413.9998	269.5508	621.7817	721.7982	3203.7772	1693.1098	766.388	1305.5467	413.2876	219.5322	361.7386	fatty acid &beta;-oxidation I
FASYN-ELONG-PWY	29228.9841	39051.8981	26847.9107	43530.2866	56659.8571	56907.55	32423.9127	54841.9208	40184.549	20548.7004	38677.7666	40299.3791	32622.5338	43149.3329	27806.7256	33437.3171	36586.0499	40188.4103	38302.6574	44650.2465	39876.4403	35967.7278	44919.0319	24675.2402	fatty acid elongation -- saturated
