KO_Hierarchy	A011.337.951	A011.796.405	A065.688.849	A139.426.047	A257.868.269	A290.419.594	A328.260.254	A328.607.302	A475.161.163	A510.125.355	A517.753.353	A519.936.442	A603.130.471	A603.362.293	A627.062.688	A674.187.094	A712.481.521	A742.300.741	A750.812.113	A866.438.792	A896.860.089	A912.362.107	A912.836.594	A929.187.519	KEGG_Description
NONOXIPENT-PWY	0.0111282317098481	0.00964048712384062	0.0114543229470021	0.00923046965265894	0.0107673603729831	0.0104932512093792	0.0101175338454744	0.010777573336363	0.0108999293246844	0.00746805765386685	0.0109809149734563	0.0112603861484354	0.0113243631483367	0.0102090418022595	0.0106290004501062	0.0103264058263394	0.0113295816898786	0.00960185043204094	0.0101411720774471	0.0104517222801279	0.0101949508077212	0.0111183201964955	0.00994246513442107	0.0119528473282942	pentose phosphate pathway (non-oxidative branch)
PWY-7663	0.00989104761137614	0.0108675737656017	0.00995554072023747	0.0100853072047975	0.0114897971878414	0.0107905686091193	0.00906318578491445	0.0108003916316591	0.0101860986163042	0.00747701330374424	0.00922326550892282	0.00973827051550762	0.0100104390864676	0.0104329906694676	0.00974859627838161	0.00989886566237107	0.0100713650621845	0.00952576169787321	0.00954556733085137	0.0107213301019472	0.00978563591923832	0.0102680901483073	0.0100558592997348	0.00995938151160747	gondoate biosynthesis (anaerobic)
PWY-6737	0.00804836079531505	0.00938541287268753	0.00917619814705914	0.00960210165612277	0.0105341175797139	0.00990564766245009	0.00897085295714076	0.00910160265233086	0.0109098528163715	0.0068857746108495	0.0102192305209644	0.0101006137854367	0.0100559929024454	0.00938386376006319	0.00915671888566869	0.00844618213239362	0.00995390421176473	0.00769681487320187	0.00942697440397862	0.0103960950182104	0.0092873479598125	0.0102626747975249	0.00958733786281775	0.0105664635455043	starch degradation V
PWY-5973	0.00932057427900805	0.00932293622813201	0.00956301332153186	0.00940028002387353	0.00982059801291978	0.00887962016111102	0.00840277434123423	0.0094075076222759	0.00907369553037868	0.0071055697610606	0.00877040586049972	0.00893078359046881	0.00907395301304939	0.00923514728189565	0.00892634567335987	0.00943017817313915	0.0094272600167015	0.00866804960592631	0.00881855738219672	0.00947902929361306	0.00919171570681627	0.00925303435315742	0.00911112255737771	0.00945249616465223	cis-vaccenate biosynthesis
PWY-5101	0.00986603931131382	0.00843282508349838	0.00998902695717764	0.00835585835377879	0.00899365194002279	0.00844758911088226	0.00895233240524483	0.00876316278854902	0.00948684425110212	0.00725849115153472	0.0100573977737225	0.00918069503146133	0.00966700221617568	0.00905071170533562	0.00936442806793494	0.00918160525408622	0.00942928483541606	0.00807353713417948	0.00869856882366408	0.00901133837400286	0.00857662235192776	0.00929937270169593	0.0086632608686297	0.0100666044646976	L-isoleucine biosynthesis II
PWY-7111	0.0102509435939735	0.00789557195795015	0.00991351114685198	0.00845912015693222	0.00872755763788381	0.00840850477540086	0.00897696811447243	0.00833504927983305	0.00908304313836811	0.00782195645174593	0.0093924592507617	0.00919485029358812	0.00993556561659761	0.00817205070997683	0.00948087458632379	0.00923214695984803	0.0088875737654774	0.00768827456065723	0.00810698420365567	0.00850335825389936	0.00790986607202849	0.00899834771681194	0.008545124669751	0.0101060148943246	pyruvate fermentation to isobutanol (engineered)
ANAGLYCOLYSIS-PWY	0.00890779963874379	0.00816584083789344	0.00923267762351792	0.00785796292116068	0.0084759885082216	0.00817106971936853	0.00841164012384321	0.00817053745661635	0.00871017794924858	0.00736660089587722	0.00917590277901489	0.00879739112955735	0.00886337916377254	0.00871398016380164	0.00856120824553455	0.00850613936932987	0.00933095593817749	0.00802220008037334	0.00858586035142146	0.00890524256124437	0.00830561272260521	0.00894983915381922	0.00806052562905431	0.00982826627739508	glycolysis III (from glucose)
PWY-5104	0.00929848176656809	0.0078026497443738	0.00926726837341551	0.00779441445869225	0.00842536074702557	0.00780157381139035	0.0085538056584702	0.00798898359416669	0.00858176084710154	0.00663605093525007	0.00926206362886818	0.00878716946338231	0.00908969021019959	0.00848259788033692	0.00870133811332924	0.00872349200506614	0.00886483501079971	0.00753047648018682	0.00830344294329434	0.00830919722002141	0.00804516417974708	0.00895096805241648	0.00813139419679663	0.00959037666486649	L-isoleucine biosynthesis IV
PWY-7219	0.00925032041337917	0.00809937721356054	0.00935785515778236	0.0080368144497368	0.00830842110572074	0.00816227746873456	0.00819331161471497	0.00823530759932617	0.00852531659430839	0.00640613246296041	0.00850609015591395	0.00828975369416341	0.00885918251077553	0.00826207336486881	0.00859653125107259	0.00871766568772456	0.00896355346530258	0.00798144540930455	0.0079756797952472	0.00850257528981206	0.00848662665976899	0.00874163722633537	0.00810057521461749	0.00938579252149416	adenosine ribonucleotides de novo biosynthesis
P42-PWY	0.00667446953246464	0.00983496652099359	0.00552485947367055	0.010112963716604	0.00905573637572254	0.00979373279801539	0.00756535072105603	0.00983676050847974	0.0077119799305027	0.00688156811500808	0.00807380244691214	0.00814030947662532	0.00744313011294448	0.00995210373192715	0.00692687514845196	0.00742049094108151	0.00867939658019442	0.00830148500096705	0.00928408465364406	0.0101261723280409	0.00873436457590458	0.00800121823720961	0.00909215005665239	0.00718800934993734	incomplete reductive TCA cycle
PWY-7208	0.00910072577841083	0.00797484498725464	0.00944625088135395	0.00802109029266215	0.00814520670503124	0.00797652274013508	0.00813361541836271	0.00821679987336904	0.00837553140182324	0.00638674143530852	0.0083546024496551	0.008296241409348	0.00892164840405063	0.00803931538634512	0.00873045552509947	0.00871257216570404	0.00899473858969214	0.00816715175207195	0.00791070548643964	0.00830053552657822	0.00843299200674012	0.00896737712689379	0.00809703971719274	0.0096308090810974	superpathway of pyrimidine nucleobases salvage
CALVIN-PWY	0.0089189263577903	0.00865335615983201	0.00901075935006644	0.00787649295588195	0.00876036783992165	0.00842190168227943	0.00805569553718983	0.00837410862985953	0.00842673322103915	0.00645389320037926	0.00839237665590672	0.00864085142531533	0.00866921702073477	0.00842007455628707	0.00859375939422245	0.00843506936820466	0.00866637252564959	0.00813954202165626	0.007814096781232	0.00832127590276449	0.00824887217533825	0.00819955852134204	0.00813946923513003	0.00892439004501661	Calvin-Benson-Bassham cycle
GLYCOCAT-PWY	0.00831520041816319	0.00788954244042042	0.00960252469074502	0.00761940171421648	0.00842084164932375	0.00816910880472585	0.00805600109371549	0.00730959319967738	0.00891332558450258	0.00638475213471505	0.00919498202308594	0.00839993238000292	0.00930237001104541	0.00818222547591872	0.00862957715857232	0.0080885322548464	0.00874325052904715	0.00703825754751535	0.00787618783626618	0.00893426319683216	0.0085777528432817	0.00880675704588798	0.00823008725609054	0.00994951466689681	glycogen degradation I (bacterial)
