function	A011.337.951	A011.796.405	A065.688.849	A139.426.047	A257.868.269	A290.419.594	A328.260.254	A328.607.302	A475.161.163	A510.125.355	A517.753.353	A519.936.442	A603.130.471	A603.362.293	A627.062.688	A674.187.094	A712.481.521	A742.300.741	A750.812.113	A866.438.792	A896.860.089	A912.362.107	A912.836.594	A929.187.519	description
PF00004	282165.17000000004	176825.72999999995	266231.06999999995	235047.58	267964.80000000005	278929.98	240782.73	265342.73	283005.67000000004	105864.91	278025.27	276729.71	263234.68	239120.46	214452.55	233625.73000000004	262031.9	238443.57	208719.39	244500.22	269648.27	270800.98	253598.57	244145.84	ATPase family associated with various cellular activities (AAA)
PF00005	406951.2	270699.69999999995	372949.6	374991.9	409618.9	424659.6	354363.49999999994	429101.3	408045.3	172030.2	401141.8	413790.4	378032.6	368233.0	315286.2	351535.9	389403.7	364894.9	339098.7	376338.7	410110.2	386330.2	387797.0	340320.4	ABC transporter
PF00006	169827.52999999994	123029.55	171682.17	165011.1	202350.52	210711.32	156491.35000000006	192236.11	188034.85	75391.66	199590.97	195393.87	174148.47	170028.71	137017.07	155051.82	178833.44999999995	159412.21	153702.68	180628.77	191366.2	170477.65000000002	180392.8	156174.8	ATP synthase alpha/beta family, nucleotide-binding domain
PF00009	323737.92	232429.0	305380.27	323781.7	357111.31	370848.31	290294.42000000004	367796.74	347977.5	133800.12000000002	348523.16	354700.46	322918.27	317110.43	264575.23	289753.36	328001.50999999995	296494.8	276794.49	323012.13	350146.06	324294.31	336833.40000000014	289488.75	Elongation factor Tu GTP binding domain
PF00011	41805.8	29457.029999999995	51899.36	38649.99	46576.52	46206.44	42933.73	48883.81000000001	53833.59	16370.89	48587.99000000001	44864.84	46484.96000000001	43900.01	34038.96	36706.24000000001	42022.63000000001	40708.67	31807.73	44408.53999999999	47508.84	46079.42000000001	42131.55	40958.22	Hsp20/alpha crystallin family
PF00012	43052.42	30588.38	48572.36	47150.99	48203.19	47119.79	42068.31000000001	46717.93	56516.23	25746.04	48769.14000000001	50896.64	48677.36000000001	43615.000000000015	38000.12	40129.23	48776.87	41895.97	37285.10000000001	44720.37	54137.02	46849.13000000001	49884.83	43209.64	Hsp70 protein
PF00013	80409.64	52210.57	72136.0	72009.05000000003	81058.01	84677.87999999999	67999.51000000001	84006.16	80228.49	24899.3	79186.23	80037.68000000001	73235.49	71881.87000000001	60904.98999999999	66708.73999999999	76464.87000000001	68790.39	62793.87000000001	74101.41	78278.73999999999	76075.35	72614.42	67663.33	KH domain
PF00015	132166.0	21287.64	112957.0	8448.5	52848.0	30631.08	64611.8	23320.5	39423.8	24451.6	123775.28	36718.08	80524.5	36913.68	68272.8	63410.8	55351.78	60864.4	29682.9	55790.18	78291.0	59581.9	50345.0	58970.3	Methyl-accepting chemotaxis protein (MCP) signalling domain
PF00016	72.67	313.5	760.17	1251.33	1322.67	405.5	531.5	190.66	448.0	906.5	13.0	361.0	89.0	545.6700000000002	712.0	28.0	261.17	41.0	709.75	554.6700000000002	598.0	190.0	160.32999999999996	437.83	Ribulose bisphosphate carboxylase large chain, catalytic domain
PF00018	22.0	0.0	0.0	10.0	11.0	0.0	0.0	0.0	14.0	0.0	10.0	6.0	0.0	56.0	0.0	9.0	2.0	0.0	0.0	5.0	0.0	6.0	0.0	0.0	SH3 domain
PF00023	86.2	474.0	381.54	218.7	209.54	54.0	1968.06	115.6	926.54	12897.66	388.0	6.0	234.06	383.66	842.9300000000002	3411.34	2309.8	161.4	7108.66	180.66	2.0	26.66	37.6	115.0	Ankyrin repeat
PF00027	154830.34	133767.63	131170.24	195700.41	207463.12	230484.14	143702.74000000002	208102.02	191571.14	52667.43	203517.93	187589.0	150330.41	182743.02	115163.99	124898.93	170975.97999999998	150808.83	163150.75	199594.19	166169.41999999998	171237.27999999994	176821.61999999997	137991.39	Cyclic nucleotide-binding domain
PF00028	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3821.0	906.0	0.0	0.0	12.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Cadherin domain
PF00032	20.0	4.0	1775.0	57.5	2.0	0.0	289.0	443.5	512.0	43.0	2.0	862.0	0.0	3.0	135.33	787.0	235.0	203.0	508.29	362.0	957.0	2.0	49.0	0.0	Cytochrome b(C-terminal)/b6/petD
PF00033	24.0	4.0	1775.0	58.5	2.0	0.0	289.0	443.5	512.0	43.0	2.0	862.0	0.0	3.0	135.33	787.0	235.0	203.0	508.29	362.0	958.0	2.0	52.0	0.0	Cytochrome b/b6/petB
PF00034	4636.85	6055.96	10004.67	7770.5	1000.02	648.75	5922.940000000001	13046.35	11606.4	8305.53	5293.2	5788.4	1335.53	6015.48	4219.31	9639.07	4435.2	5727.8	10878.33	6213.83	11165.5	3473.98	2228.1	3368.75	Cytochrome c
PF00035	40678.92	27041.97	37315.76	37356.99000000001	40763.69	42465.96	35089.950000000004	42796.53000000001	40506.33	17203.020000000004	39925.18	41379.04	37781.86	36238.3	31519.02	35143.590000000004	38949.07	36485.09	33909.87	37577.87	41001.02	38630.02	38741.1	34032.04	Double-stranded RNA binding motif
PF00036	535.0	51.0	96.0	318.0	247.0	0.0	7.0	449.0	172.0	43.0	295.0	275.0	148.0	258.0	100.0	75.0	192.0	206.0	0.0	0.0	19.0	31.0	37.0	187.0	EF hand
PF00037	250988.59	120019.94000000002	231133.14	184231.39	186658.35	191817.75	187868.7	154830.55	236660.32	52587.92999999999	237017.38	230231.02	208396.16	187774.14	169923.62	182472.60000000003	211968.71	157757.98	142132.53000000006	184297.97	192430.54	228681.5	192476.04	213001.01	4Fe-4S binding domain
PF00041	8277.279999999999	12495.0	15031.47	8393.279999999999	23462.85	10278.9	21438.26	9575.8	26503.230000000003	7807.53	29016.43	22591.47	16778.73	19910.410000000003	17161.289999999994	14414.55	27282.7	16258.45	10918.2	19133.2	19702.12	21497.5	14310.42	34093.86	Fibronectin type III domain
PF00042	230.85	1710.79	404.75	2966.25	505.35	335.54	1059.03	1384.1	528.4	2868.91	902.88	1098.9	1268.7	1618.65	1085.0	1264.27	285.7	1550.09	544.54	699.25	2263.55	1098.69	3888.9	242.5	Globin
PF00043	413.0	1831.03	4935.25	3251.0	368.25	137.24	4989.83	1832.5	1223.0	15511.26	854.08	1800.0	1008.75	1489.5	1368.75	2060.67	1047.0	6056.24	3055.74	1417.25	5050.0	568.74	4153.5	380.25	Glutathione S-transferase, C-terminal domain
PF00044	44209.82	28025.329999999994	38448.710000000014	38759.77	41692.639999999985	43791.89	38211.04	44117.0	41697.66	23038.840000000004	41603.69	43357.84	39737.16	38094.52	32520.449999999993	37300.87999999998	41150.44	40815.62	35692.490000000005	37994.12	42627.12	41208.070000000014	39646.9	36678.79	Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain
PF00056	50090.82	40627.400000000016	42997.98	59977.77	62483.26	72397.46	47926.05	73118.9	53315.4	21404.270000000004	54588.01	60549.01	51769.16	55363.93000000001	40035.72	42992.76	54124.75	54862.64	51777.27	59423.78999999999	56106.87	51647.52	58619.8	42367.55	lactate/malate dehydrogenase, NAD binding domain
PF00059	64.0	18.5	193.0	0.0	184.0	2.5	0.0	0.0	140.0	0.0	0.0	500.5	99.5	839.0	993.5	487.0	9.5	2.5	39.5	183.0	161.0	305.5	69.5	99.5	Lectin C-type domain
PF00067	28.25	32.0	1191.5	0.33	0.0	36.25	235.0	43.0	129.0	2.0	26.33	46.67	5.0	3.0	289.5	12.17	243.33	338.0	504.0	558.5	578.0	3.67	76.0	348.83	Cytochrome P450
PF00068	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	5.0	0.0	0.0	0.0	124.0	0.0	Phospholipase A2
PF00069	75967.40999999999	46334.78	81038.57999999999	59185.75	100495.73	96772.99	86510.81000000001	74412.03	103896.16	83744.45999999999	97204.83	116223.95	83724.54	81567.29	68077.54999999999	74290.24	118501.21	79170.28	104423.39	85320.71999999999	82211.0	99088.73	82578.88	94463.24	Protein kinase domain
PF00071	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	Ras family
PF00072	398002.52	268794.37	366446.57	363701.59	401707.87	419758.6	344281.02	417216.99	402970.95	135256.55	400283.3	404325.4	376876.45	364645.33	306761.7	339552.55	383311.3400000001	356496.4	318264.05	374390.37000000005	390137.2	382984.54	386344.68	335008.08	Response regulator receiver domain
PF00075	39657.47	26078.12	36547.14	36841.52	41347.37	42802.36	33116.42000000001	41864.31000000001	40438.460000000014	10701.19	40026.23	41273.039999999986	37709.18	36232.9	30629.449999999993	32699.17	36403.4	34769.79	30096.24	37540.54	40408.27	38256.53	38160.08	32380.19	RNase H
PF00076	32510.85	46948.34	18645.25	66156.94	79937.27	96311.0	38999.330000000016	63901.3	48758.25	17531.570000000003	48145.25	52635.8	39498.27	62013.81	23957.15	26188.31	46930.87000000001	41561.95	58546.88000000001	72667.58	49389.81000000001	43866.08	59293.11000000001	25042.44	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
