function	A011.337.951	A011.796.405	A065.688.849	A139.426.047	A257.868.269	A290.419.594	A328.260.254	A328.607.302	A475.161.163	A510.125.355	A517.753.353	A519.936.442	A603.130.471	A603.362.293	A627.062.688	A674.187.094	A712.481.521	A742.300.741	A750.812.113	A866.438.792	A896.860.089	A912.362.107	A912.836.594	A929.187.519	description
TIGR00001	40442.92	27040.97	37284.76	37356.99000000001	40763.69	42465.96	34994.950000000004	42796.53000000001	40506.33	17218.020000000004	39925.18	41379.04	37781.86	36232.3	31495.02	35117.590000000004	38922.57	36449.09	33788.87	37577.87	41001.02	38608.52	38743.1	34029.04	ribosomal protein bL35
TIGR00002	40459.12	27069.97	37294.960000000014	37499.19	40961.89	42465.96	35023.35000000001	42910.13000000001	40804.53	17203.020000000004	40114.18	41379.04	37803.26	36592.3	31504.619999999995	35127.590000000004	38926.37	36453.49000000001	33788.87	37633.87	41001.02	38608.52	38779.7	34029.04	ribosomal protein bS16
TIGR00003	38606.37	10483.58	35924.82	22637.98	22646.82	20137.92	25903.95	24593.28	29270.7	5732.5	30630.43	33672.31	33357.5	20923.06	23994.75	29051.29	33463.759999999995	20546.75	15826.85	22494.84	27058.75	33314.5	27283.98	32611.09	copper ion binding protein
TIGR00004	46341.97	30340.15	41980.29	50777.36	45758.32	47229.5	37221.360000000015	47849.23	47215.76	14622.6	45656.81000000001	49247.64	45584.38000000001	42925.87	37798.62	37775.19	42455.74	39882.58	31740.83	42867.039999999986	47520.32	45593.71	47393.27	41898.54	reactive intermediate/imine deaminase
TIGR00005	125812.11	101753.91	119693.38	129238.74	146945.72	150490.68999999994	116037.61	152355.67	147272.59	54431.55000000001	132269.06	146016.72	128380.15	128238.22	105839.13	117205.21	129674.17	120551.65	110341.11000000002	132040.47999999998	141318.16	133919.62	132661.96	113736.58	pseudouridine synthase, RluA family
TIGR00006	42379.12	30582.97	47915.96	40056.19	50123.89	50499.96	39742.35000000001	46606.13000000001	53314.53	19009.520000000004	52438.51	49289.71000000001	45962.26000000001	41691.3	37729.12	39959.76	45431.2	40329.49000000001	36082.87	44202.37	50580.02	44128.52	47607.7	40642.37	16S rRNA (cytosine(1402)-N(4))-methyltransferase
TIGR00007	36423.6	22979.57	25329.370000000006	34859.73000000002	30580.9	32780.06	29177.32	38696.87	27133.26	9105.69	27773.38	32038.14	29133.43	30520.800000000007	23829.370000000006	27713.22	29895.1	28581.44	27678.69	30301.62	26987.27	32284.19	29445.739999999994	27102.210000000006	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase
TIGR00008	40401.12	27069.97	37294.960000000014	37494.19	40961.89	42465.96	35023.35000000001	42910.13000000001	40803.53	17203.020000000004	40110.18	41377.04	37803.26	36585.3	31504.619999999995	35127.590000000004	38926.37	36430.49000000001	33788.87	37633.87	40978.02	38608.52	38779.7	34027.04	translation initiation factor IF-1
TIGR00009	40456.12	27042.97	37291.960000000014	36355.69	40281.89	42285.96	35043.85000000001	42871.13000000001	40809.03	16504.520000000004	40110.18	41146.04	37882.26	36381.3	30877.619999999995	35122.590000000004	38982.37	36669.49000000001	33982.87	37529.87	41006.02	38437.52	38665.2	33670.04	ribosomal protein bL28
TIGR00010	42076.24	29123.38	38133.63000000001	38158.52	41327.26	42657.04	37673.41000000002	43497.99	41502.33	23796.340000000004	41251.44	43251.84	38162.66	38077.77	32711.619999999995	36424.37999999998	39525.44	39297.42	35147.450000000004	38101.540000000015	43817.87	41031.4	38927.33	34489.12	hydrolase, TatD family
